Gene	Chip_FC	RNA_FC
zfp367	-4.74	-3.937790407
ern1(1of2)	4.465	5.40318483
LOC107374876	4.35	5.108400759
cebpd	2.61	2.251039546
ezh1	2.6	6.424451869
fbxo32	4.915	5.557965509
psat1	-4.03	-2.073143084
recql4	-4.06	-3.990208689
mycn(2of2)	-2.89	-1.484810272
gen1	-3.31	-3.840782785
iqgap3	-3.82	-6.653487795
cbx7(2of2)	3.83	4.341226169
uhrf1	-2.82	-5.607272229
sass6	0.9966666666666666	-6.281518745
pprc1(1of2)	-2.92	-4.395123395
apitd1	-4.78	-5.46199875
ccne2	-4.56	-7.427583047
cdo1	3.77	4.790386799
lpin1(2of2)	2.58	4.479519715
jade2	2.34	4.891344919
e2f2	-3.94	-4.278111527
e2f7	-4.41	-6.361239148
wdr62	0.405	-1.247632322
angptl4(1of2)	2.15	3.012754033
ccnb1	-2.97	-8.611238473
rnpepl1	-2.83	-2.920329423
ypel1	2.89	2.866577768
kif15	-2.85	-5.000919035
trit1	-1.2650000000000001	-2.533426065
top2a	-0.475	-6.126303867
prc1(4of4)	-2.49	-5.485295738
ssna1	-0.6000000000000001	-2.396764324
pfdn1	-1.935	-1.336951278
top1(2of3)	-3.4	-4.948545686
ncapd3	-3.34	-3.70889472
cic(1of2)	1.65	1.117229158
uchl3	-3.86	-5.885029456
kiaa0101	-2.58	-7.272474486
slc43a2(2of2)	2.64	2.317479387
cdkn1b(1of3)	2.04	5.090075042
melk	-3.39	-7.951499523
epor	3.3	5.525971245
mybl1(1of2)	-2.39	-7.184749087
prtg(2of2)	-4.0600000000000005	-5.85650738
nat8l(2of2)	-0.7200000000000001	-2.024245367
cdca7(2of2)	-2.83	-4.87476124
slc35b1	-2.41	-4.852425033
kif14	-3.53	-5.350415349
igf2	-3.58	-3.076287876
mybl2(2of2)	-3.42	-3.319147673
mcm3	-2.25	-4.957192972
zfp704(2of2)	-0.76	-3.180989528
sgk1(3of3)	-3.24	-2.232961586
nfe2l3	-1.4666666666666668	-2.355342875
LOC107391421	-2.39	-3.326126849
hpdl	-3.12	-3.246918955
atp8a2	-4.220000000000001	-1.013163804
ago3(2of2)	-3.06	-3.298649876
tpx2	-0.11666666666666659	-4.696231152
tars(2of3)	1.5150000000000001	1.042294233
kif2c	-0.965	-6.579584231
rab8b(2of2)	-3.75	-5.807512962
sgol1	-2.34	-5.688030288
kif23(1of2)	-1.97	-7.972538431
rad54b	-3.84	-6.297575659
nasp(1of2)	-2.39	-5.356099369
fam219a(1of2)	2.58	3.102465498
g2e3(2of3)	-2.79	-5.962525522
kdm6b(1of2)	-2.43	-1.426200927
rmdn1	-2.04	-1.113902904
paqr6	0.6299999999999999	1.77392525
tinagl1	2.84	3.470118152
rbp1(2of2)	-3.38	-4.186963201
ccna2	-2.12	-6.433583535
mcm5	-3.16	-6.252506794
ppil1	-1.92	-4.064955567
tacc3	-2.36	-5.323263585
ppp1r3a(4of4)	1.93	3.146374378
hspa4l	3.44	3.420081673
mtmr4	-0.46666666666666673	1.026721519
ttf2	-2.24	-3.327361577
emilin2(1of2)	2.56	1.929861648
rubcn	0.9349999999999999	1.749617056
xpo5	-1.8	-3.48863786
ppfibp2(2of2)	-2.43	-2.364724761
ccdc43	-2.34	-2.781096105
odc1	-2.19	-4.581417396
cenpt	-2.22	-4.001667145
arhgef39	-2.81	-2.888413784
racgap1(2of3)	-2.36	-5.885817703
rhou(3of3)	2.58	2.925619518
