id	fc
zfp367	-4.74
ern1(1of2)	4.465
c4bpa(2of2)	1.895
pla2r1(3of3)	4.6899999999999995
LOC107374876	4.35
cebpd	2.61
ezh1	2.6
kdm6b(2of2)	-5.220000000000001
fbxo32	4.915
psat1	-4.03
recql4	-4.06
mycn(2of2)	-2.89
gen1	-3.31
iqgap3	-3.82
cbx7(2of2)	3.83
lin28b	-0.8475
uhrf1	-2.82
sass6	0.9966666666666666
pprc1(1of2)	-2.92
apitd1	-4.78
ccne2	-4.56
cdo1	3.77
lpin1(2of2)	2.58
jade2	2.34
e2f2	-3.94
e2f7	-4.41
wdr62	0.405
brd2(1of4)	-1.605
angptl4(1of2)	2.15
hsf2bp	-2.83
ccnb1	-2.97
rnpepl1	-2.83
ypel1	2.89
zfx	1.45
kif15	-2.85
znf235(36of148)	1.3399999999999999
trit1	-1.2650000000000001
top2a	-0.475
prc1(4of4)	-2.49
ssna1	-0.6000000000000001
LOC107392767	-3.28
pfdn1	-1.935
top1(2of3)	-3.4
ncapd3	-3.34
cic(1of2)	1.65
uchl3	-3.86
kiaa0101	-2.58
slc43a2(2of2)	2.64
ptprn2(1of2)	-3.11
cit(2of5)	-3.13
cdkn1b(1of3)	2.04
melk	-3.39
fbxo8	-2.24
epor	3.3
LOC107384070	-4.48
mybl1(1of2)	-2.39
prtg(2of2)	-4.0600000000000005
nat8l(2of2)	-0.7200000000000001
scmh1(1of3)	-2.9775
cdca7(2of2)	-2.83
nipal3	2.605
slc35b1	-2.41
kif14	-3.53
igf2	-3.58
mybl2(2of2)	-3.42
slc16a6(1of4)	-4.245
mcm3	-2.25
zfp704(2of2)	-0.76
sgk1(3of3)	-3.24
nfe2l3	-1.4666666666666668
LOC107391421	-2.39
hpdl	-3.12
atp8a2	-4.220000000000001
ago3(2of2)	-3.06
tpx2	-0.11666666666666659
LOC107394847	-2.3499999999999996
tars(2of3)	1.5150000000000001
kif2c	-0.965
rab8b(2of2)	-3.75
sgol1	-2.34
kif23(1of2)	-1.97
rad54b	-3.84
dnajb6	-1.655
nasp(1of2)	-2.39
fam219a(1of2)	2.58
g2e3(2of3)	-2.79
kdm6b(1of2)	-2.43
rmdn1	-2.04
paqr6	0.6299999999999999
tinagl1	2.84
rbp1(2of2)	-3.38
ccna2	-2.12
mcm5	-3.16
btbd10(1of2)	-2.0450000000000004
ppil1	-1.92
tacc3	-2.36
ppp1r3a(4of4)	1.93
hspa4l	3.44
mtmr4	-0.46666666666666673
ttf2	-2.24
emilin2(1of2)	2.56
LOC107377933	-2.75
rubcn	0.9349999999999999
xpo5	-1.8
ppfibp2(2of2)	-2.43
ccdc43	-2.34
odc1	-2.19
cenpt	-2.22
arhgef39	-2.81
racgap1(2of3)	-2.36
rhou(3of3)	2.58
arhgap32(2of2)	-1.1866666666666668
timp3	2.1
gpt(1of4)	1.88
tox4(2of2)	-1.615
dlg3	-1.005
arhgap11a(2of2)	-1.91
eif4ebp1(1of2)	2.29
plekhg5	1.4625
bcl11a(2of2)	-3.49
kif4a	-1.755
LOC107379898	3.84
junb(2of2)	2.58
rheb(1of2)	1.75
serpina10(1of2)	2.64
lamp1(4of4)	2.06
mcm4	-2.8
gxylt2	-2.08
slc30a1	-1.92
chchd4(2of2)	-1.85
fam185a	1.75
myo1b	-2.22
aif1l(2of2)	-3.98
cbx7(1of2)	1.8449999999999998
haus8	-2.02
grip1(1of2)	2.665
tk1	-2.02
dnaja2(2of2)	-1.64
rapgef3	2.28
parp12(3of3)	2.63
ankle2	-2.05
coq10b(3of3)	-2.37
celf3(3of3)	-2.75
chaf1a	-1.62
magi1(2of3)	-1.8399999999999999
rfc2	-0.5
cks1b(2of2)	-1.63
bcs1l	-2.11
efnb2(3of3)	-1.6349999999999998
junb(1of2)	1.12
ptrhd1	-3.0
slc38a2	-0.7200000000000001
ddx5(2of2)	-0.16000000000000003
limd2	-2.44
slco5a1(2of2)	-3.24
timp2	1.8
angptl4(2of2)	-3.51
pmf1	-2.09
noct(1of2)	-3.97
hmga1	-1.35
mef2d(2of3)	-0.3400000000000001
klf15(2of2)	2.29
cdc20	-2.3
sord	2.19
