target_id	length	eff_length	est_counts	tpm
col11a2	1086	934.124	109.38	12.1146
runx2(2of2)	837	685.271	1	0.150978
gtf2ird2(3of3)	574	423.575	8	1.95405
mt_nd4	1381	1229.12	7935.05	667.929
mt_co1	1545	1393.12	26831.2	1992.63
hoxb9(2of2)	827	675.271	386	59.1406
mt_nd2	1036	884.124	3308.81	387.2
mt_cyb	1137	985.124	7036.34	738.979
mt_nd1	975	823.124	9607	1207.53
sox11(2of2)	1139	987.124	6	0.628863
mt_co2	691	539.457	6772.19	1298.82
mt_nd5	1842	1690.12	5004.91	306.376
zmym1(14of14)	1113	961.124	2	0.215292
sphk1(2of3)	500	351.431	0	0
smdt1(2of2)	762	610.398	984	166.786
smc6(2of2)	699	547.457	3	0.566954
sebox(2of2)	714	562.457	1	0.183945
rpl38	332	197.588	6854	3588.89
ppp1r3a(4of4)	255	134.436	530	407.884
poln	753	601.398	19	3.26865
pla2r1(3of3)	765	613.398	1	0.168669
pde4d(3of3)	1495	1343.12	12	0.924361
pcsk7(2of2)	317	184.798	0	0
nlrc3(24of24)	662	510.508	4	0.81065
necab1(4of4)	232	117.29	11	9.70302
mt_nd6	519	369.671	1084	303.383
mt_nd4l	297	168.217	729	448.368
mt_nd3	349	212.413	397	193.368
mt_co3	784	632.398	8223	1345.29
mt_atp8	168	72.7993	275	390.825
mt_atp6	683	531.457	3098	603.101
mfap4(4of4)	611	460.004	2	0.449826
klhl38(2of2)	1450	1298.12	20	1.59401
ins	573	422.575	16	3.91735
hoxa2b	627	476.004	26	5.65118
gtf2ird2(2of3)	890	738.201	47	6.58718
fzd3(4of4)	369	230.07	23	10.3429
fgfbp1(3of3)	1392	1240.12	9	0.750851
fgf11(2of2)	483	335.016	4	1.23529
elovl4(6of6)	471	323.682	1	0.319637
deptor(3of3)	384	243.497	1	0.424896
cdkn1c(2of2)	213	103.274	3	3.00543
adh5(4of4)	1537	1385.12	3	0.224083
a2ml1(4of4)	1662	1510.12	3	0.205535
glipr2(2of2)	687	535.457	18	3.47796
