target_id	length	eff_length	est_counts	tpm
col11a2	1086	940.508	137	13.4649
runx2(2of2)	837	691.508	0	0
gtf2ird2(3of3)	574	429.145	6	1.29238
mt_nd4	1381	1235.51	14414.2	1078.43
mt_co1	1545	1399.51	42963.9	2837.74
hoxb9(2of2)	827	681.508	304	41.2332
mt_nd2	1036	890.508	5488.83	569.753
mt_cyb	1137	991.508	13626.9	1270.42
mt_nd1	975	829.508	9839	1096.41
sox11(2of2)	1139	993.508	12.3264	1.14686
mt_co2	691	545.626	13254.9	2245.56
mt_nd5	1842	1696.51	7690.14	419.009
zmym1(14of14)	1113	967.508	1	0.095541
sphk1(2of3)	500	356.42	2	0.518696
smdt1(2of2)	762	616.57	957	143.474
smc6(2of2)	699	553.626	0	0
sebox(2of2)	714	568.57	2	0.325155
rpl38	332	197.604	8162	3818.08
ppp1r3a(4of4)	255	134.121	616	424.55
poln	753	607.57	35	5.32496
pla2r1(3of3)	765	619.57	1	0.149195
pde4d(3of3)	1495	1349.51	12	0.821959
pcsk7(2of2)	317	184.683	0	0
nlrc3(24of24)	662	516.731	1	0.178888
necab1(4of4)	232	116.018	21	16.7316
mt_nd6	519	374.872	2123	523.493
mt_nd4l	297	167.916	1131	622.61
mt_nd3	349	213.228	487	211.12
mt_co3	784	638.508	15187	2198.62
mt_atp8	168	70.6905	450	588.432
mt_atp6	683	537.626	5362	921.915
mfap4(4of4)	611	465.877	3	0.595243
klhl38(2of2)	1450	1304.51	15	1.06289
ins	573	428.145	30	6.47702
hoxa2b	627	481.83	21	4.02875
gtf2ird2(2of3)	890	744.508	33	4.09722
fzd3(4of4)	369	231.747	32	12.7638
fgfbp1(3of3)	1392	1246.51	8	0.593252
fgf11(2of2)	483	339.767	1	0.272059
elovl4(6of6)	471	328.168	1	0.281675
deptor(3of3)	384	245.405	0	0
cdkn1c(2of2)	213	102.076	12	10.8668
adh5(4of4)	1537	1391.51	14	0.930008
a2ml1(4of4)	1662	1516.51	8	0.487629
glipr2(2of2)	687	541.626	14	2.38931
pax6(4of4)	1522	1376.51	4	0.268612
fgf22	3384	3238.51	0	0
cdk14(3of3)	461	318.461	1	0.290261
ccni2	2524	2378.51	1897.85	73.7568
polq	5318	5172.51	61	1.09012
fgf12(2of2)	4868	4722.51	224.844	4.40102
vps52	3162	3016.51	387	11.8591
rps29	345	209.489	2966	1308.74
cfap46(1of2)	3396	3250.51	101.674	2.89135
sash1(2of2)	7689	7543.51	626.937	7.68237
pla2g1b(3of3)	2329	2183.51	4	0.169336
krt222	2245	2099.51	17	0.748473
pdp1(3of3)	2695	2549.51	4	0.145027
mtus2(2of2)	2679	2533.51	18	0.656742
mtf2(2of2)	2345	2199.51	1030.33	43.3007
lin37	1710	1564.51	1205	71.1957
cfap46(2of2)	2985	2839.51	17.3265	0.564042
phf14	3730	3584.51	1168	30.1202
chd3(2of2)	8348	8202.51	42	0.473312
slc7a3	4392	4246.51	98	2.13323
nkx1_2	988	842.508	0	0
ghsr(4of4)	2292	2146.51	5.00025	0.21533
cdhr5(3of3)	3497	3351.51	69.1566	1.90738
kdm2a(3of3)	3877	3731.51	109.433	2.71086
fgf20(2of2)	1818	1672.51	15	0.829025
fgf4	924	778.508	1	0.118736
cdh23(2of3)	6397	6251.51	30	0.443589
cdh23(3of3)	5108	4962.51	10	0.18627
ppp2r2b	3395	3249.51	252	7.16849
kdm6b(2of2)	8093	7947.51	1108	12.887
sphk1(3of3)	4203	4057.51	83.0654	1.89237
sirt1	2233	2087.51	39	1.72695
fgf3	1999	1853.51	13	0.648326
rps11	604	458.924	9464	1906.25
myo19	3063	2917.51	13	0.411885
fgf17	720	574.57	85	13.6748
rpl13	948	802.508	17342	1997.53
lect1(2of2)	1771	1625.51	5	0.284332
rnaseh2a(1of2)	879	733.508	93	11.7199
rnaseh2a(2of2)	1087	941.508	260.942	25.6191
rpl32	525	380.797	16727	4060.4
creb1(5of5)	1396	1250.51	17	1.25663
prkab1(2of2)	1730	1584.51	2718	158.562
slc1a2(3of3)	3930	3784.51	6	0.14655
gabrb3(3of3)	1853	1707.51	1	0.0541355
c12orf65	699	553.626	334	55.7666
setd1b(3of3)	7551	7405.51	219.31	2.73746
prdm2(2of2)	6595	6449.51	808.281	11.5846
hoxa7	996	850.508	424.831	46.1724
trpc7(1of2)	3233	3087.51	27	0.808351
xcr1(2of4)	1090	944.508	3	0.293603
cep112	3057	2911.51	80	2.5399
idh2(2of2)	1777	1631.51	439	24.8725
grb7	2726	2580.51	135	4.83585
ttc30a1	1814	1668.51	50	2.77004
ppp1r13b(1of2)	4651	4505.51	271	5.55994
bcl9l(1of2)	5353	5207.51	48.6835	0.864164
hipk2(5of6)	4244	4098.51	26	0.586398
bloc1s4	1673	1527.51	380	22.9956
bphl	1251	1105.51	259	21.6562
fam184a(1of2)	4461	4315.51	38.3806	0.8221
zfp330	1254	1108.51	427	35.6068
gfra1(5of7)	2172	2026.51	13	0.592979
st6galnac6	2249	2103.51	675.272	29.6742
chrnb1(2of2)	2987	2841.51	154	5.00975
cldn19(2of4)	1795	1649.51	1	0.056039
pnp(3of5)	1943	1797.51	32	1.6456
cops4	1687	1541.51	3708	222.351
LOC107372748	1209	1063.51	1102	95.7823
gale	1368	1222.51	132	9.98083
lcp2(1of2)	1717	1571.51	40	2.35282
acaa2	1760	1614.51	212	12.1378
exosc9	1497	1351.51	364	24.8959
