target_id	length	eff_length	est_counts	tpm
col11a2	1086	909.149	134	22.173
runx2(2of2)	837	660.227	1	0.227857
gtf2ird2(3of3)	574	401.073	6	2.25052
mt_nd4	1381	1204.15	7670.54	958.299
mt_co1	1545	1368.15	23815.9	2618.72
hoxb9(2of2)	827	650.227	310	71.7219
mt_nd2	1036	859.149	2625.97	459.808
mt_cyb	1137	960.149	7257.28	1137.08
mt_nd1	975	798.149	4813	907.167
sox11(2of2)	1139	962.149	8	1.25084
mt_co2	691	514.871	6759.9	1975.14
mt_nd5	1842	1665.15	4207.87	380.159
zmym1(14of14)	1113	936.149	2	0.321396
sphk1(2of3)	500	331.465	3	1.36157
smdt1(2of2)	762	585.598	421	108.153
smc6(2of2)	699	522.819	1	0.287743
sebox(2of2)	714	537.765	1	0.279745
rpl38	332	185.945	2956	2391.53
ppp1r3a(4of4)	255	127.464	336	396.559
poln	753	576.598	15	3.91358
pla2r1(3of3)	765	588.539	3	0.766834
pde4d(3of3)	1495	1318.15	10	1.14128
pcsk7(2of2)	317	174.044	2	1.72873
nlrc3(24of24)	662	486.269	2	0.618741
necab1(4of4)	232	111.499	5	6.74614
mt_nd6	519	349.357	811	349.226
mt_nd4l	297	158.582	679	644.126
mt_nd3	349	199.725	239	180.02
mt_co3	784	607.539	7617	1886.1
mt_atp8	168	70.142	234	501.872
mt_atp6	683	507.024	2396	710.909
mfap4(4of4)	611	436.607	0	0
klhl38(2of2)	1450	1273.15	10	1.18162
ins	573	400.114	2	0.751973
hoxa2b	627	452.072	26	8.65209
gtf2ird2(2of3)	890	713.227	32	6.74959
fzd3(4of4)	369	216.558	32	22.2296
fgfbp1(3of3)	1392	1215.15	7	0.86661
fgf11(2of2)	483	316.088	1	0.475935
elovl4(6of6)	471	304.978	1	0.493272
deptor(3of3)	384	228.73	4	2.63082
cdkn1c(2of2)	213	98.9778	1	1.51991
adh5(4of4)	1537	1360.15	5	0.553018
a2ml1(4of4)	1662	1485.15	5	0.506472
glipr2(2of2)	687	510.922	18	5.29997
pax6(4of4)	1522	1345.15	2	0.223674
fgf22	3384	3207.15	0	0
cdk14(3of3)	461	295.842	2	1.01701
ccni2	2524	2347.15	491.745	31.5177
polq	5318	5141.15	61	1.78495
fgf12(2of2)	4868	4691.15	164.838	5.28609
vps52	3162	2985.15	205	10.331
rps29	345	196.445	945	723.679
cfap46(1of2)	3396	3219.15	69.4945	3.24762
sash1(2of2)	7689	7512.15	272.811	5.46327
pla2g1b(3of3)	2329	2152.15	7	0.489307
krt222	2245	2068.15	12	0.872881
pdp1(3of3)	2695	2518.15	5	0.298706
mtus2(2of2)	2679	2502.15	14	0.841725
mtf2(2of2)	2345	2168.15	549.89	38.1542
lin37	1710	1533.15	549	53.8696
cfap46(2of2)	2985	2808.15	20.5055	1.09851
phf14	3730	3553.15	466	19.73
chd3(2of2)	8348	8171.15	26	0.47868
