target_id	length	eff_length	est_counts	tpm
col11a2	1086	952.02	196	20.6212
runx2(2of2)	837	703.02	1	0.142474
gtf2ird2(3of3)	574	440.42	9	2.04682
mt_nd4	1381	1247.02	11385.7	914.517
mt_co1	1545	1411.02	34446.6	2445.21
hoxb9(2of2)	827	693.02	176	25.4373
mt_nd2	1036	902.02	4790.74	531.974
mt_cyb	1137	1003.02	10345.6	1033.12
mt_nd1	975	841.02	7658	912.038
sox11(2of2)	1139	1005.02	8	0.797295
mt_co2	691	557.141	11867.4	2133.51
mt_nd5	1842	1708.02	6350.79	372.425
zmym1(14of14)	1113	979.02	4	0.409235
sphk1(2of3)	500	367.242	0	0
smdt1(2of2)	762	628.02	807	128.708
smc6(2of2)	699	565.141	4	0.708936
sebox(2of2)	714	580.141	0	0
rpl38	332	207.691	8334	4019.2
ppp1r3a(4of4)	255	140.946	351	249.435
poln	753	619.02	33	5.33965
pla2r1(3of3)	765	631.02	3	0.476192
pde4d(3of3)	1495	1361.02	16	1.1775
pcsk7(2of2)	317	194.165	1	0.515861
nlrc3(24of24)	662	528.141	1	0.189651
necab1(4of4)	232	122.948	13	10.5907
mt_nd6	519	385.903	2277	591.002
mt_nd4l	297	176.466	503	285.503
mt_nd3	349	223.14	538	241.495
mt_co3	784	650.02	12396	1910.11
mt_atp8	168	76.1017	332	436.966
mt_atp6	683	549.141	5092	928.771
mfap4(4of4)	611	477.189	5	1.0495
klhl38(2of2)	1450	1316.02	10	0.761099
ins	573	439.42	15	3.41913
hoxa2b	627	493.141	22	4.46844
gtf2ird2(2of3)	890	756.02	62	8.21414
fzd3(4of4)	369	241.264	10	4.15156
fgfbp1(3of3)	1392	1258.02	13	1.03505
fgf11(2of2)	483	350.639	0	0
elovl4(6of6)	471	338.951	0	0
deptor(3of3)	384	255.278	3	1.1771
cdkn1c(2of2)	213	108.346	1	0.92447
adh5(4of4)	1537	1403.02	3	0.214171
a2ml1(4of4)	1662	1528.02	13	0.852154
glipr2(2of2)	687	553.141	22	3.98374
pax6(4of4)	1522	1388.02	3	0.216486
fgf22	3384	3250.02	0	0
cdk14(3of3)	461	329.152	1	0.304304
ccni2	2524	2390.02	3274.26	137.219
polq	5318	5184.02	71	1.37182
fgf12(2of2)	4868	4734.02	272.603	5.76773
vps52	3162	3028.02	235	7.77344
rps29	345	219.458	3220	1469.63
cfap46(1of2)	3396	3262.02	172.741	5.30412
sash1(2of2)	7689	7555.02	629.773	8.34934
pla2g1b(3of3)	2329	2195.02	9	0.410684
krt222	2245	2111.02	11	0.52192
pdp1(3of3)	2695	2561.02	4	0.156441
mtus2(2of2)	2679	2545.02	18	0.708411
mtf2(2of2)	2345	2211.02	847.813	38.4071
lin37	1710	1576.02	645	40.9923
cfap46(2of2)	2985	2851.02	14.2589	0.500944
phf14	3730	3596.02	1271	35.402
chd3(2of2)	8348	8214.02	66	0.804808
slc7a3	4392	4258.02	119	2.79926
nkx1_2	988	854.02	0	0
ghsr(4of4)	2292	2158.02	5.00128	0.232129
cdhr5(3of3)	3497	3363.02	66.9724	1.99467
kdm2a(3of3)	3877	3743.02	143.886	3.85035
fgf20(2of2)	1818	1684.02	5	0.29739
fgf4	924	790.02	0	0
cdh23(2of3)	6397	6263.02	40	0.639706
cdh23(3of3)	5108	4974.02	14	0.281919
ppp2r2b	3395	3261.02	231.155	7.09992
kdm6b(2of2)	8093	7959.02	1582	19.9091
sphk1(3of3)	4203	4069.02	118.154	2.90845
sirt1	2233	2099.02	17	0.811216
fgf3	1999	1865.02	6	0.322234
rps11	604	470.236	11315	2410.14
myo19	3063	2929.02	10	0.341965
fgf17	720	586.141	55	9.39863
rpl13	948	814.02	20948	2577.58
lect1(2of2)	1771	1637.02	7	0.4283
rnaseh2a(1of2)	879	745.02	74	9.94873
rnaseh2a(2of2)	1087	953.02	141.476	14.8691
rpl32	525	391.825	16656	4257.78
creb1(5of5)	1396	1262.02	11	0.873032
prkab1(2of2)	1730	1596.02	1306	81.9613
slc1a2(3of3)	3930	3796.02	14	0.369406
gabrb3(3of3)	1853	1719.02	10	0.58267
c12orf65	699	565.141	278	49.2711
setd1b(3of3)	7551	7417.02	229.138	3.09436
prdm2(2of2)	6595	6461.02	970.428	15.0441
hoxa7	996	862.02	298.485	34.6824
trpc7(1of2)	3233	3099.02	10	0.323206
xcr1(2of4)	1090	956.02	5	0.52385
cep112	3057	2923.02	53	1.81613
idh2(2of2)	1777	1643.02	485	29.5667
grb7	2726	2592.02	71	2.74362
ttc30a1	1814	1680.02	107	6.3793
ppp1r13b(1of2)	4651	4517.02	289	6.4084
bcl9l(1of2)	5353	5219.02	75.0579	1.44049
hipk2(5of6)	4244	4110.02	13	0.316813
bloc1s4	1673	1539.02	219	14.2529
bphl	1251	1117.02	214	19.1892
fam184a(1of2)	4461	4327.02	50.707	1.17377
zfp330	1254	1120.02	254	22.715
gfra1(5of7)	2172	2038.02	14	0.688056
st6galnac6	2249	2115.02	531.584	25.1745
chrnb1(2of2)	2987	2853.02	181	6.35445
cldn19(2of4)	1795	1661.02	0	0
pnp(3of5)	1943	1809.02	40	2.21473
cops4	1687	1553.02	1707	110.093
LOC107372748	1209	1075.02	537	50.0336
gale	1368	1234.02	113	9.17192
lcp2(1of2)	1717	1583.02	32	2.02473
acaa2	1760	1626.02	104	6.40636
exosc9	1497	1363.02	238	17.4896
wdr73	2271	2137.02	110	5.1557
chrna4	2777	2643.02	116.409	4.41153
prpf39(1of2)	3001	2867.02	1792	62.6053
zcchc8	2425	2291.02	358	15.6516
anapc15	1978	1844.02	96	5.21446
csf1r(2of2)	4048	3914.02	12	0.307088
capsl	951	817.02	17	2.08411
rpusd4	1375	1241.02	313	25.2621
hist1h1b(1of6)	1338	1204.02	19	1.58061
tmem100(1of2)	1399	1265.02	38	3.00878
trerf1(1of2)	1993	1859.02	1	0.053879
msh6	5452	5318.02	307.82	5.79763
znf235(31of148)	2101	1967.02	101.487	5.16777
fam83h(1of2)	7544	7410.02	279	3.77128
pcdh1(2of2)	4943	4809.02	19.6405	0.409073
lsamp	1957	1823.02	84.1198	4.6218
huwe1	14690	14556	2778	19.1158
tapbp	1820	1686.02	1	0.0594075
ccdc90b	1162	1028.02	323	31.4706
txn2	931	797.02	1071	134.594
LOC107396618	1471	1337.02	4	0.299658
zscan22(1of6)	1284	1150.02	229.031	19.9477
tmem229a	3057	2923.02	39.2769	1.34589
tnfaip8l3	1407	1273.02	6.12626	0.482019
trim33(2of2)	4263	4129.02	777	18.8486
tnmd	1121	987.02	9	0.913315
sgms2(1of2)	1664	1530.02	37	2.42219
c11orf31	669	535.141	143	26.7653
hspd1	2406	2272.02	350	15.4298
plaa	2629	2495.02	50	2.00724
cers5(2of2)	1769	1635.02	64	3.92067
cxorf21	3671	3537.02	82	2.3221
ier3ip1(1of2)	618	484.141	1119	231.506
htr3a(4of11)	1953	1819.02	12	0.660766
rnd2(2of2)	1666	1532.02	136	8.89157
lcmt2	2407	2273.02	259	11.413
