target_id	length	eff_length	est_counts	tpm
col11a2	1086	948.552	197.434	18.1685
runx2(2of2)	837	699.552	2	0.249557
gtf2ird2(3of3)	574	437.21	3	0.598949
mt_nd4	1381	1243.55	11262.6	790.56
mt_co1	1545	1407.55	38904.9	2412.67
hoxb9(2of2)	827	689.552	345	43.6728
mt_nd2	1036	898.552	5054.79	491.042
mt_cyb	1137	999.552	11660	1018.24
mt_nd1	975	837.552	11263	1173.82
sox11(2of2)	1139	1001.55	7	0.610076
mt_co2	691	553.608	11890.9	1874.87
mt_nd5	1842	1704.55	7215.09	369.479
zmym1(14of14)	1113	975.552	2	0.178953
sphk1(2of3)	500	364.451	2	0.479015
smdt1(2of2)	762	624.552	1158	161.845
smc6(2of2)	699	561.608	2	0.310853
sebox(2of2)	714	576.552	2	0.302796
rpl38	332	204.609	9362	3993.96
ppp1r3a(4of4)	255	137.985	637	402.965
poln	753	615.552	22	3.11973
pla2r1(3of3)	765	627.552	6	0.834566
pde4d(3of3)	1495	1357.55	29	1.86466
pcsk7(2of2)	317	191.362	1	0.456145
nlrc3(24of24)	662	524.662	0	0
necab1(4of4)	232	119.662	26	18.9661
mt_nd6	519	383.19	1878	427.8
mt_nd4l	297	173.727	785	394.422
mt_nd3	349	220.019	636	252.322
mt_co3	784	646.552	12807	1729.03
mt_atp8	168	73.0296	423	505.592
mt_atp6	683	545.608	5255	840.719
mfap4(4of4)	611	473.806	2	0.368458
klhl38(2of2)	1450	1312.55	17	1.13055
ins	573	436.21	13	2.60139
hoxa2b	627	489.662	39	6.95228
gtf2ird2(2of3)	890	752.552	82	9.51123
fzd3(4of4)	369	238.354	14	5.12701
fgfbp1(3of3)	1392	1254.55	13	0.904511
fgf11(2of2)	483	347.736	0	0
elovl4(6of6)	471	336.044	2	0.519508
deptor(3of3)	384	252.083	1	0.346271
cdkn1c(2of2)	213	105.382	4	3.31325
adh5(4of4)	1537	1399.55	6	0.374215
a2ml1(4of4)	1662	1524.55	9	0.515299
glipr2(2of2)	687	549.608	33	5.24107
pax6(4of4)	1522	1384.55	4	0.252179
fgf22	3384	3246.55	0	0
cdk14(3of3)	461	326.311	1	0.267502
ccni2	2524	2386.55	1761.97	64.4445
polq	5318	5180.55	130	2.19041
fgf12(2of2)	4868	4730.55	257.312	4.74796
vps52	3162	3024.55	296	8.54259
rps29	345	216.355	3847	1552.08
cfap46(1of2)	3396	3258.55	99	2.65198
sash1(2of2)	7689	7551.55	579.057	6.69336
pla2g1b(3of3)	2329	2191.55	13	0.517786
krt222	2245	2107.55	8	0.331338
pdp1(3of3)	2695	2557.55	9	0.307169
mtus2(2of2)	2679	2541.55	9	0.309102
mtf2(2of2)	2345	2207.55	908.223	35.9121
lin37	1710	1572.55	743	41.2423
cfap46(2of2)	2985	2847.55	19	0.582426
phf14	3730	3592.55	1332	32.3638
chd3(2of2)	8348	8210.55	60	0.637878
slc7a3	4392	4254.55	160	3.28265
nkx1_2	988	850.552	1	0.102626
ghsr(4of4)	2292	2154.55	11.004	0.445811
cdhr5(3of3)	3497	3359.55	67.6605	1.75797
kdm2a(3of3)	3877	3739.55	153.712	3.58796
fgf20(2of2)	1818	1680.55	17	0.88299
fgf4	924	786.552	1	0.110977
cdh23(2of3)	6397	6259.55	24	0.334678
cdh23(3of3)	5108	4970.55	29	0.509275
ppp2r2b	3395	3257.55	317	8.49429
kdm6b(2of2)	8093	7955.55	1582	17.3578
sphk1(3of3)	4203	4065.55	106.816	2.29338
sirt1	2233	2095.55	20	0.833087
fgf3	1999	1861.55	5	0.234452
rps11	604	466.806	14531	2717.18
myo19	3063	2925.55	6	0.17902
fgf17	720	582.552	59	8.84049
rpl13	948	810.552	24181	2604.07
lect1(2of2)	1771	1633.55	5	0.267175
rnaseh2a(1of2)	879	741.552	101	11.8888
rnaseh2a(2of2)	1087	949.552	234.056	21.516
rpl32	525	389.074	19131	4292.05
creb1(5of5)	1396	1258.55	38	2.63555
prkab1(2of2)	1730	1592.55	1851	101.455
slc1a2(3of3)	3930	3792.55	16	0.368254
gabrb3(3of3)	1853	1715.55	5	0.254405
c12orf65	699	561.608	287	44.6075
setd1b(3of3)	7551	7413.55	256.199	3.01654
prdm2(2of2)	6595	6457.55	928.839	12.5554
hoxa7	996	858.552	471.157	47.9025
trpc7(1of2)	3233	3095.55	6	0.169189
xcr1(2of4)	1090	952.552	6	0.549821
cep112	3057	2919.55	62	1.85368
idh2(2of2)	1777	1639.55	516	27.4716
grb7	2726	2588.55	117	3.94537
ttc30a1	1814	1676.55	123	6.40394
ppp1r13b(1of2)	4651	4513.55	284	5.49236
bcl9l(1of2)	5353	5215.55	72.8319	1.21894
hipk2(5of6)	4244	4106.55	30	0.63768
bloc1s4	1673	1535.55	287	16.3146
bphl	1251	1113.55	262	20.5376
fam184a(1of2)	4461	4323.55	73.7233	1.48841
zfp330	1254	1116.55	363	28.3783
gfra1(5of7)	2172	2034.55	8	0.343226
st6galnac6	2249	2111.55	556.538	23.0066
chrnb1(2of2)	2987	2849.55	233	7.13737
cldn19(2of4)	1795	1657.55	5	0.263307
pnp(3of5)	1943	1805.55	39	1.88544
cops4	1687	1549.55	2486	140.041
LOC107372748	1209	1071.55	622	50.6683
gale	1368	1230.55	64	4.53982
lcp2(1of2)	1717	1579.55	56	3.09466
acaa2	1760	1622.55	135	7.26263
exosc9	1497	1359.55	336	21.5726
wdr73	2271	2133.55	97	3.96851
chrna4	2777	2639.55	130.612	4.31928
prpf39(1of2)	3001	2863.55	1766	53.8325
zcchc8	2425	2287.55	392	14.958
anapc15	1978	1840.55	104	4.93224
csf1r(2of2)	4048	3910.55	18	0.401785
capsl	951	813.552	31	3.3261
rpusd4	1375	1237.55	510	35.9721
hist1h1b(1of6)	1338	1200.55	25.4594	1.85109
tmem100(1of2)	1399	1261.55	32	2.21413
trerf1(1of2)	1993	1855.55	4	0.188168
msh6	5452	5314.55	308.835	5.07246
znf235(31of148)	2101	1963.55	128.281	5.70267
fam83h(1of2)	7544	7406.55	336	3.95988
pcdh1(2of2)	4943	4805.55	11.1844	0.203155
lsamp	1957	1819.55	76.0707	3.64932
huwe1	14690	14552.6	3291	19.74
tapbp	1820	1682.55	5	0.259394
ccdc90b	1162	1024.55	410	34.9308
txn2	931	793.552	1823	200.526
LOC107396618	1471	1333.55	1	0.0654559
zscan22(1of6)	1284	1146.55	292.274	22.2513
tmem229a	3057	2919.55	33.6044	1.00471
tnfaip8l3	1407	1269.55	0	0
trim33(2of2)	4263	4125.55	816	17.265
tnmd	1121	983.552	23	2.04122
sgms2(1of2)	1664	1526.55	40	2.28722
c11orf31	669	531.662	155	25.4481
hspd1	2406	2268.55	394	15.1603
plaa	2629	2491.55	53	1.8568
cers5(2of2)	1769	1631.55	75	4.01254
cxorf21	3671	3533.55	72.1914	1.78333
ier3ip1(1of2)	618	480.711	1439	261.298
htr3a(4of11)	1953	1815.55	11	0.528863
rnd2(2of2)	1666	1528.55	170	9.70795
lcmt2	2407	2269.55	371	14.269
serpini1	1617	1479.55	18	1.06194
LOC107383633	1566	1428.55	21.5316	1.31565
csmd3(7of9)	3906	3768.55	36	0.833848
rab27b(2of2)	3663	3525.55	31.0172	0.767953
jag2(2of2)	5861	5723.55	541	8.2507
zbtb39	4003	3865.55	38	0.858086
brd7	2004	1866.55	293	13.7021
LOC107372370	2401	2263.55	1740	67.0993
schip1(2of3)	1727	1589.55	10	0.549141
nqo1(2of6)	992	854.552	18.2059	1.85965
ppil3	1088	950.552	410	37.6502
prr16(1of2)	2696	2558.55	10.0595	0.343196
LOC107395317	549	412.634	1	0.211541
LOC107382444	1404	1266.55	12	0.827022
fpgs	2926	2788.55	305	9.54729
lrriq1	4375	4237.55	200	4.11978
cetn3	1119	981.552	275	24.4556
rab1a(3of3)	1747	1609.55	519.514	28.1742
c1orf112	3098	2960.55	131	3.8624
znf721(2of2)	2452	2314.55	271.417	10.236
cdh18	3633	3495.55	8.71939	0.217736
runx1t1	5292	5154.55	108.488	1.83717
kiaa1324l(3of3)	4699	4561.55	39.1629	0.749413
glrx2	1214	1076.55	143	11.5947
irf8(2of2)	2087	1949.55	6	0.268643
ankrd63(2of2)	2030	1892.55	3	0.138367
arhgap44(2of2)	4675	4537.55	23.0878	0.44414
nol10	2488	2350.55	51	1.89391
gipc1(2of2)	2508	2370.55	73.8215	2.71827
nlrx1(1of2)	905	767.552	40	4.54895
scarb2(2of3)	3460	3322.55	434	11.4019
atg9a(1of2)	6178	6040.55	336.73	4.86591
pvr(2of2)	2161	2023.55	19.9824	0.861971
cadm2(1of3)	3162	3024.55	6	0.173161
mmadhc(2of2)	2764	2626.55	516	17.1484
ogdh(2of2)	4412	4274.55	372	7.59646
ehbp1l1	8981	8843.55	447.785	4.41979
zdhhc8(3of3)	3023	2885.55	7	0.211752
tra2b(1of2)	1477	1339.55	290	18.8972
LOC107378154	1251	1113.55	9	0.70549
myl1(1of2)	1209	1071.55	696.59	56.7444
plod1	3306	3168.55	1241	34.1877
ces1	2591	2453.55	12	0.426918
wfdc3(5of7)	678	540.662	2	0.322896
pnpla2(3of5)	2664	2526.55	38	1.31285
camsap1(2of2)	5158	5020.55	36	0.625907
capn3(2of2)	4739	4601.55	69.3974	1.31643
laptm4b(2of2)	2346	2208.55	93	3.67565
rbm15b	3588	3450.55	145	3.66808
LOC107382835	3617	3479.55	142	3.56225
elp5	1145	1007.55	513	44.4436
ticrr	6238	6100.55	57	0.815576
tnip1(1of4)	1229	1091.55	30	2.39903
ackr4(2of2)	1470	1332.55	5	0.327525
rps18	921	783.552	24990	2783.93
tmem151b(3of3)	3160	3022.55	6	0.173275
otop1	3578	3440.55	7	0.177594
cxcl1(2of2)	1001	863.552	0	0
nccrp1	1296	1158.55	1816	136.823
tmem208	1305	1167.55	133	9.94339
msantd1	1581	1443.55	45	2.72107
wdr4	1701	1563.55	1534	85.6391
prokr2(1of2)	1919	1781.55	27	1.32289
moxd2	3023	2885.55	38	1.14951
gabrr2(3of3)	1896	1758.55	133.289	6.61606
zkscan2(1of2)	1067	929.552	167.46	15.7253
zscan22(2of6)	2833	2695.55	1305.18	42.265
ttc16	1965	1827.55	61	2.91353
cd2ap	3134	2996.55	212	6.17551
ptprj	7223	7085.55	199	2.45154
rag2	2279	2141.55	5	0.203798
ppp2r2d	2875	2737.55	1192	38.0078
snai2(3of3)	1100	962.552	28	2.53918
slc48a1(1of2)	1753	1615.55	219.98	11.8856
utp20	8888	8750.55	163	1.62596
camkk2	2992	2854.55	341	10.4274
rmdn2	5154	5016.55	241.813	4.20759
bbs7	3146	3008.55	85	2.46615
actr2(2of2)	2492	2354.55	200.086	7.41767
tk1	1244	1106.55	119	9.38716
pfkp(2of2)	3184	3046.55	28.1574	0.806757
gipc1(1of2)	1967	1829.55	40	1.90842
zbtb26	2058	1920.55	284.338	12.9231
tnk2(2of3)	5143	5005.55	40	0.697537
igfals	2232	2094.55	7	0.29172
lztr1(2of2)	1534	1396.55	281	17.5634
notch1(3of3)	3213	3075.55	49	1.3907
heatr5b	6475	6337.55	61	0.84017
fgfr3	6577	6439.55	408	5.53049
add3(2of2)	4617	4479.55	623.546	12.1505
rims1(2of2)	3313	3175.55	23.5226	0.646584
dcbld2(1of2)	3266	3128.55	211	5.88705
tecpr2(4of4)	1711	1573.55	6.23756	0.346013
myo7a(2of8)	1863	1725.55	21	1.06231
usf2(1of2)	3363	3225.55	652	17.6442
pcdhb16(3of3)	3320	3182.55	3.62987	0.0995576
parg(3of3)	2734	2596.55	7	0.235321
pcdh7(2of2)	7997	7859.55	52.0815	0.578421
mapk10	5696	5558.55	91.7055	1.4401
psmg4	604	466.806	771	144.171
mid1ip1(4of4)	2659	2521.55	44.3658	1.53582
plbd2	1920	1782.55	301	14.7395
gpr158(1of2)	6421	6283.55	181.515	2.52154
hist1h4c(5of12)	1266	1128.55	21.365	1.65249
clec3b(1of2)	1201	1063.55	6	0.492438
crtc3	5270	5132.55	388	6.59868
ccdc53	2397	2259.55	359.966	13.9059
sike1	1797	1659.55	136	7.15331
donson	2615	2477.55	37.5934	1.32449
bora	2268	2130.55	11	0.450671
dido1(2of2)	11079	10941.6	1448	11.5518
nrg2(3of3)	2417	2279.55	31	1.18706
prodh2	1767	1629.55	4.74978	0.254428
zbtb21	4560	4422.55	431	8.50674
heatr6	3972	3834.55	98.9007	2.25135
gabrr2(1of3)	2244	2106.55	73.492	3.04528
mcoln2	3761	3623.55	35	0.843126
prmt6	1270	1132.55	46	3.54535
ddx11	3418	3280.55	36.5304	0.972
cyp4f22	2111	1973.55	444.04	19.6396
rnd1(2of2)	3201	3063.55	81.1943	2.31344
khdrbs1(2of2)	2478	2340.55	1740	64.8918
otud6b	1305	1167.55	77	5.7567
trmt2b(1of2)	1909	1771.55	44.2768	2.18163
zfp503(1of2)	2627	2489.55	189	6.62673
kcnma1(1of2)	9013	8875.55	31	0.304877
zp3(7of19)	1223	1085.55	3	0.241229
pik3cd	4795	4657.55	12	0.224896
capn5(2of4)	2604	2466.55	7	0.247723
neb(3of7)	19120	18982.6	240	1.10361
hipk2(1of6)	4761	4623.55	164	3.09619
rims2(4of4)	3902	3764.55	15.7817	0.365931
dnajc8	1696	1558.55	334	18.7061
smarca4(1of2)	6002	5864.55	35	0.520945
anp32e(1of2)	2611	2473.55	2825	99.6911
gnl2	2589	2451.55	4319	153.78
c22orf23	825	687.552	133	16.8852
gstt2b(1of2)	907	769.552	2	0.226856
slco3a1(3of3)	3126	2988.55	14.4523	0.422119
rpl8	856	718.552	57968	7041.89
rgs8(1of2)	1467	1329.55	28.5041	1.87138
chrm4(2of2)	1747	1609.55	10	0.542318
prkrir(5of5)	8212	8074.55	1053	11.3833
gpr183(1of4)	1630	1492.55	1	0.058483
c11orf88	638	500.662	3	0.523041
mef2c(2of3)	3384	3246.55	20.1656	0.542185
gtpbp4	2660	2522.55	9688	335.238
arl5b(1of2)	1727	1589.55	901	49.4776
haus4	1344	1206.55	138	9.98371
uqcrc1	1904	1766.55	681	33.6496
timm17a	1336	1198.55	1012	73.7026
hsd17b3	1390	1252.55	2	0.139378
tp63	2821	2683.55	55	1.78901
thap4(3of6)	968	830.552	28	2.94273
LOC107380904	3035	2897.55	34	1.02425
myo7a(5of8)	861	723.552	8	0.965116
myh9(2of2)	6121	5983.55	299.323	4.36657
lrrc27	1832	1694.55	13	0.669649
fam131b(1of2)	2342	2204.55	6	0.237569
endod1(2of8)	2139	2001.55	28.1183	1.22626
cryba1(4of4)	1021	883.552	3	0.29638
gje1	1973	1835.55	154.335	7.33934
acvr2b(2of2)	2372	2234.55	32	1.25002
kalrn(1of2)	9818	9680.55	63.6744	0.574148
fam8a1(2of2)	1551	1413.55	271	16.7346
shank2(3of3)	9403	9265.55	11	0.103629
