target_id	length	eff_length	est_counts	tpm
col11a2	1086	961.467	171	15.623
runx2(2of2)	837	712.467	3	0.369878
gtf2ird2(3of3)	574	449.684	8	1.56273
mt_nd4	1381	1256.47	15162.2	1060.02
mt_co1	1545	1420.47	46550.4	2878.69
hoxb9(2of2)	827	702.467	218	27.2604
mt_nd2	1036	911.467	6605.87	636.636
mt_cyb	1137	1012.47	14000.5	1214.69
mt_nd1	975	850.467	10233	1056.93
sox11(2of2)	1139	1014.47	5	0.432947
mt_co2	691	566.536	17836.4	2765.55
mt_nd5	1842	1717.47	8224.48	420.651
zmym1(14of14)	1113	988.467	3	0.266601
sphk1(2of3)	500	376.601	1	0.233249
smdt1(2of2)	762	637.536	932	128.414
smc6(2of2)	699	574.536	1	0.152892
sebox(2of2)	714	589.536	2	0.298004
rpl38	332	214.71	10759	4401.72
ppp1r3a(4of4)	255	145.91	498	299.811
poln	753	628.536	35	4.89148
pla2r1(3of3)	765	640.536	1	0.137138
pde4d(3of3)	1495	1370.47	6	0.384578
pcsk7(2of2)	317	200.963	0	0
nlrc3(24of24)	662	537.536	0	0
necab1(4of4)	232	127.224	13	8.97584
mt_nd6	519	395.138	3177	706.271
mt_nd4l	297	182.939	729	350.046
mt_nd3	349	230.595	851	324.177
mt_co3	784	659.536	16549	2204.12
mt_atp8	168	78.2336	501	562.531
mt_atp6	683	558.536	7325	1152.02
mfap4(4of4)	611	486.638	0	0
klhl38(2of2)	1450	1325.47	6	0.397635
ins	573	448.684	7	1.37044
hoxa2b	627	502.638	26	4.54381
gtf2ird2(2of3)	890	765.467	57	6.5411
fzd3(4of4)	369	249.309	3	1.05702
fgfbp1(3of3)	1392	1267.47	9	0.623746
fgf11(2of2)	483	359.71	0	0
elovl4(6of6)	471	347.853	1	0.252527
deptor(3of3)	384	263.507	5	1.66678
cdkn1c(2of2)	213	111.468	2	1.57609
adh5(4of4)	1537	1412.47	5	0.310952
a2ml1(4of4)	1662	1537.47	8	0.457074
glipr2(2of2)	687	562.536	48	7.49537
pax6(4of4)	1522	1397.47	5	0.31429
fgf22	3384	3259.47	0	0
cdk14(3of3)	461	337.921	1	0.259948
