target_id	length	eff_length	est_counts	tpm
col11a2	1086	944.531	137.618	10.5222
runx2(2of2)	837	695.531	2	0.207664
gtf2ird2(3of3)	574	433.186	9	1.50043
mt_nd4	1381	1239.53	14729.8	858.195
mt_co1	1545	1403.53	41186.6	2119.25
hoxb9(2of2)	827	685.531	692	72.8998
mt_nd2	1036	894.531	4870.96	393.248
mt_cyb	1137	995.531	13150.8	953.993
mt_nd1	975	833.531	12802	1109.18
sox11(2of2)	1139	997.531	11	0.796367
mt_co2	691	549.704	10643.4	1398.3
mt_nd5	1842	1700.53	8463.69	359.436
zmym1(14of14)	1113	971.531	3	0.223004
sphk1(2of3)	500	360.319	3	0.601286
smdt1(2of2)	762	620.531	1559	181.439
smc6(2of2)	699	557.648	2	0.25901
sebox(2of2)	714	572.593	0	0
rpl38	332	203.252	9536	3388.28
ppp1r3a(4of4)	255	138.405	792	413.259
poln	753	611.593	54	6.37645
pla2r1(3of3)	765	623.531	1	0.115821
pde4d(3of3)	1495	1353.53	7	0.373488
pcsk7(2of2)	317	190.448	0	0
nlrc3(24of24)	662	520.759	0	0
necab1(4of4)	232	120.175	18	10.817
mt_nd6	519	378.947	1805	343.99
mt_nd4l	297	173.099	1491	622.056
mt_nd3	349	218.431	465	153.74
mt_co3	784	642.531	12060	1355.5
mt_atp8	168	74.1359	532	518.239
mt_atp6	683	541.759	5380	717.172
mfap4(4of4)	611	469.954	1	0.153671
klhl38(2of2)	1450	1308.53	35	1.93166
ins	573	432.186	11	1.8381
hoxa2b	627	485.859	43	6.39153
gtf2ird2(2of3)	890	748.531	63	6.07824
fzd3(4of4)	369	236.058	55	16.8264
fgfbp1(3of3)	1392	1250.53	16	0.924001
fgf11(2of2)	483	343.744	0	0
elovl4(6of6)	471	331.914	0	0
deptor(3of3)	384	249.716	0	0
cdkn1c(2of2)	213	105.704	6	4.09929
adh5(4of4)	1537	1395.53	10	0.517497
a2ml1(4of4)	1662	1520.53	5	0.237477
glipr2(2of2)	687	545.759	50	6.61632
pax6(4of4)	1522	1380.53	6	0.313872
fgf22	3384	3242.53	1	0.0222722
cdk14(3of3)	461	322.208	1	0.224135
ccni2	2524	2382.53	1874.94	56.8323
polq	5318	5176.53	142	1.98106
fgf12(2of2)	4868	4726.53	227.321	3.47332
vps52	3162	3020.53	529	12.6479
rps29	345	214.995	3438	1154.85
cfap46(1of2)	3396	3254.53	97.2825	2.15871
sash1(2of2)	7689	7547.53	728.709	6.97262
pla2g1b(3of3)	2329	2187.53	6	0.198082
krt222	2245	2103.53	12	0.411983
pdp1(3of3)	2695	2553.53	6	0.16969
mtus2(2of2)	2679	2537.53	17	0.483821
mtf2(2of2)	2345	2203.53	1627.63	53.3439
lin37	1710	1568.53	1390	63.9984
cfap46(2of2)	2985	2843.53	26.7175	0.678554
phf14	3730	3588.53	1474	29.6639
chd3(2of2)	8348	8206.53	33	0.290403
slc7a3	4392	4250.53	179	3.04128
nkx1_2	988	846.531	1	0.0853108
ghsr(4of4)	2292	2150.53	1.0106	0.0339374
cdhr5(3of3)	3497	3355.53	60.3116	1.29804
kdm2a(3of3)	3877	3735.53	149.348	2.88732
fgf20(2of2)	1818	1676.53	13	0.559988
fgf4	924	782.531	1	0.0922881
cdh23(2of3)	6397	6255.53	37	0.427154
cdh23(3of3)	5108	4966.53	6	0.0872459
ppp2r2b	3395	3253.53	481	10.6767
kdm6b(2of2)	8093	7951.53	1311	11.9069
sphk1(3of3)	4203	4061.53	115.289	2.04996
sirt1	2233	2091.53	52	1.7955
fgf3	1999	1857.53	25	0.971966
rps11	604	463.048	13160	2052.47
myo19	3063	2921.53	12	0.296632
fgf17	720	578.593	105	13.1058
rpl13	948	806.531	21423	1918.25
lect1(2of2)	1771	1629.53	1	0.0443184
rnaseh2a(1of2)	879	737.531	144	14.1003
rnaseh2a(2of2)	1087	945.531	237.057	18.1061
rpl32	525	384.831	22493	4221.08
creb1(5of5)	1396	1254.53	51	2.93586
prkab1(2of2)	1730	1588.53	3805	172.984
slc1a2(3of3)	3930	3788.53	7	0.133436
gabrb3(3of3)	1853	1711.53	6	0.253171
c12orf65	699	557.648	385	49.8594
setd1b(3of3)	7551	7409.53	352.002	3.43085
prdm2(2of2)	6595	6453.53	1334.93	14.9385
hoxa7	996	854.531	659.911	55.7705
trpc7(1of2)	3233	3091.53	9	0.21024
xcr1(2of4)	1090	948.531	8	0.609096
cep112	3057	2915.53	136	3.36875
idh2(2of2)	1777	1635.53	698	30.8208
grb7	2726	2584.53	238	6.65032
ttc30a1	1814	1672.53	72	3.10889
ppp1r13b(1of2)	4651	4509.53	452	7.23859
bcl9l(1of2)	5353	5211.53	108.699	1.50629
hipk2(5of6)	4244	4102.53	12	0.21124
bloc1s4	1673	1531.53	527	24.8503
bphl	1251	1109.53	245	15.9468
fam184a(1of2)	4461	4319.53	44.4272	0.742778
zfp330	1254	1112.53	570	37.0007
gfra1(5of7)	2172	2030.53	45	1.60048
st6galnac6	2249	2107.53	1204.36	41.2696
chrnb1(2of2)	2987	2845.53	256	6.49716
cldn19(2of4)	1795	1653.53	2	0.0873504
pnp(3of5)	1943	1801.53	45	1.80392
cops4	1687	1545.53	4747	221.814
LOC107372748	1209	1067.53	1767	119.537
gale	1368	1226.53	136	8.00769
lcp2(1of2)	1717	1575.53	96	4.40039
acaa2	1760	1618.53	288	12.8505
exosc9	1497	1355.53	532	28.3432
wdr73	2271	2129.53	216	7.32516
chrna4	2777	2635.53	72.2872	1.9808
prpf39(1of2)	3001	2859.53	3498	88.343
zcchc8	2425	2283.53	682	21.5687
anapc15	1978	1836.53	139	5.46593
csf1r(2of2)	4048	3906.53	8	0.147892
capsl	951	809.531	58	5.17418
rpusd4	1375	1233.53	729	42.68
hist1h1b(1of6)	1338	1196.53	17	1.02606
tmem100(1of2)	1399	1257.53	133	7.63801
trerf1(1of2)	1993	1851.53	6	0.234028
msh6	5452	5310.53	342.857	4.66254
znf235(31of148)	2101	1959.53	223.839	8.24957
fam83h(1of2)	7544	7402.53	405	3.95114
pcdh1(2of2)	4943	4801.53	5.0689	0.0762396
lsamp	1957	1815.53	112.721	4.48381
huwe1	14690	14548.5	6339	31.4665
tapbp	1820	1678.53	1	0.0430247
ccdc90b	1162	1020.53	595	42.1054
txn2	931	789.531	2670	244.224
LOC107396618	1471	1329.53	1	0.0543186
zscan22(1of6)	1284	1142.53	470.35	29.7304
tmem229a	3057	2915.53	19	0.470634
tnfaip8l3	1407	1265.53	4.0774	0.232679
trim33(2of2)	4263	4121.53	1020	17.8726
tnmd	1121	979.531	11	0.811001
sgms2(1of2)	1664	1522.53	77	3.65234
c11orf31	669	527.759	215	29.4205
hspd1	2406	2264.53	596	19.0071
plaa	2629	2487.53	118	3.42579
cers5(2of2)	1769	1627.53	158	7.01092
cxorf21	3671	3529.53	52	1.06398
ier3ip1(1of2)	618	476.907	1901	287.869
htr3a(4of11)	1953	1811.53	2	0.0797318
rnd2(2of2)	1666	1524.53	304	14.4007
lcmt2	2407	2265.53	456	14.5359
serpini1	1617	1475.53	28	1.37043
LOC107383633	1566	1424.53	12	0.608354
csmd3(7of9)	3906	3764.53	43	0.824907
rab27b(2of2)	3663	3521.53	24	0.492183
jag2(2of2)	5861	5719.53	620	7.8285
zbtb39	4003	3861.53	65	1.21563
brd7	2004	1862.53	365	14.1526
LOC107372370	2401	2259.53	987	31.5461
schip1(2of3)	1727	1585.53	12	0.54658
nqo1(2of6)	992	850.531	33.9779	2.88505
ppil3	1088	946.531	822	62.7168
prr16(1of2)	2696	2554.53	7.02159	0.198505
LOC107395317	549	408.351	0	0
LOC107382444	1404	1262.53	2	0.114402
fpgs	2926	2784.53	732	18.9848
lrriq1	4375	4233.53	120	2.04704
cetn3	1119	977.531	520	38.4167
rab1a(3of3)	1747	1605.53	672.017	30.2279
c1orf112	3098	2956.53	190	4.64107
znf721(2of2)	2452	2310.53	794.529	24.8339
cdh18	3633	3491.53	2.07347	0.0428874
runx1t1	5292	5150.53	95.5922	1.34035
kiaa1324l(3of3)	4699	4557.53	23.0413	0.365111
glrx2	1214	1072.53	139	9.35949
irf8(2of2)	2087	1945.53	5	0.1856
ankrd63(2of2)	2030	1888.53	0	0
arhgap44(2of2)	4675	4533.53	5.01101	0.0798245
nol10	2488	2346.53	140	4.30873
gipc1(2of2)	2508	2366.53	183.187	5.59023
nlrx1(1of2)	905	763.531	41	3.87797
scarb2(2of3)	3460	3318.53	988	21.501
atg9a(1of2)	6178	6036.53	640.57	7.66348
