target_id	length	eff_length	est_counts	tpm
col11a2	1086	922.605	131.477	12.4396
runx2(2of2)	837	673.672	2	0.259153
gtf2ird2(3of3)	574	412.905	2	0.42282
mt_nd4	1381	1217.6	15918.8	1141.24
mt_co1	1545	1381.6	46022.5	2907.78
hoxb9(2of2)	827	663.672	413	54.3214
mt_nd2	1036	872.605	5539.91	554.192
mt_cyb	1137	973.605	17086.2	1531.92
mt_nd1	975	811.605	8223	884.424
sox11(2of2)	1139	975.605	28	2.5053
mt_co2	691	528.409	14026.4	2317.13
mt_nd5	1842	1678.6	6893.85	358.499
zmym1(14of14)	1113	949.605	3	0.275774
sphk1(2of3)	500	341.488	0	0
smdt1(2of2)	762	598.862	833	121.421
smc6(2of2)	699	536.195	0	0
sebox(2of2)	714	551.033	0	0
rpl38	332	188.61	8717	4034.38
ppp1r3a(4of4)	255	127.441	703	481.527
poln	753	589.862	27	3.99566
pla2r1(3of3)	765	601.862	3	0.43511
pde4d(3of3)	1495	1331.6	15	0.983311
pcsk7(2of2)	317	176.19	2	0.990887
nlrc3(24of24)	662	499.612	1	0.17472
necab1(4of4)	232	111.002	18	14.1553
mt_nd6	519	359.749	1384	335.824
mt_nd4l	297	160.242	1564	851.992
mt_nd3	349	203.206	501	215.217
mt_co3	784	620.801	18171	2555.06
mt_atp8	168	67.8721	434	558.179
mt_atp6	683	520.409	5359	898.905
mfap4(4of4)	611	449.217	2	0.388641
klhl38(2of2)	1450	1286.6	11	0.746315
ins	573	411.946	24	5.08564
hoxa2b	627	464.806	27	5.07068
gtf2ird2(2of3)	890	726.605	42	5.04575
fzd3(4of4)	369	220.243	17	6.73787
fgfbp1(3of3)	1392	1228.6	39	2.77094
fgf11(2of2)	483	325.095	2	0.537025
elovl4(6of6)	471	313.706	1	0.278261
deptor(3of3)	384	233.3	3	1.12249
cdkn1c(2of2)	213	97.707	11	9.82748
adh5(4of4)	1537	1373.6	8	0.508397
a2ml1(4of4)	1662	1498.6	7	0.407742
glipr2(2of2)	687	524.409	46	7.65707
pax6(4of4)	1522	1358.6	2	0.128503
fgf22	3384	3220.6	0	0
cdk14(3of3)	461	304.145	4	1.14803
ccni2	2524	2360.6	814.104	30.1045
polq	5318	5154.6	58	0.982217
fgf12(2of2)	4868	4704.6	182.294	3.3824
vps52	3162	2998.6	345	10.0433
rps29	345	199.742	2925	1278.3
cfap46(1of2)	3396	3232.6	87.7237	2.36886
sash1(2of2)	7689	7525.6	405.835	4.70742
pla2g1b(3of3)	2329	2165.6	7	0.282159
krt222	2245	2081.6	5	0.209675
pdp1(3of3)	2695	2531.6	3	0.103443
mtus2(2of2)	2679	2515.6	9	0.312302
mtf2(2of2)	2345	2181.6	705.048	28.2109
lin37	1710	1546.6	1057	59.6583
cfap46(2of2)	2985	2821.6	12.2763	0.379794
phf14	3730	3566.6	649	15.8842
chd3(2of2)	8348	8184.6	36	0.383954
slc7a3	4392	4228.6	146	3.01391
