target_id	length	eff_length	est_counts	tpm
col11a2	1086	931.117	1127	68.9659
runx2(2of2)	837	682.117	0	0
gtf2ird2(3of3)	574	419.535	0	0
mt_nd4	1381	1226.12	5069	235.562
mt_co1	1545	1390.12	66761	2736.44
hoxb9(2of2)	827	672.117	64	5.42563
mt_nd2	1036	881.117	855	55.2901
mt_cyb	1137	982.117	3267.12	189.547
mt_nd1	975	820.117	1686	117.138
sox11(2of2)	1139	984.117	73.4841	4.25463
mt_co2	691	536.172	21273.8	2260.77
mt_nd5	1842	1687.12	2179	73.5914
zmym1(14of14)	1113	958.117	0	0
sphk1(2of3)	500	346.211	16	2.63326
smdt1(2of2)	762	607.117	44	4.12948
smc6(2of2)	699	544.172	0	0
sebox(2of2)	714	559.117	0	0
rpl38	332	184.254	25502	7886.27
ppp1r3a(4of4)	255	117.374	88	42.7193
poln	753	598.117	5	0.47632
pla2r1(3of3)	765	610.117	2	0.186781
pde4d(3of3)	1495	1340.12	9	0.382661
pcsk7(2of2)	317	170.902	0	0
nlrc3(24of24)	662	507.172	0	0
necab1(4of4)	232	98.6119	5	2.88905
mt_nd6	519	364.928	1879	293.383
mt_nd4l	297	152.988	1823	678.96
mt_nd3	349	200.234	447	127.199
mt_co3	784	629.117	12583	1139.64
mt_atp8	168	54.1197	132	138.974
mt_atp6	683	528.172	1069	115.323
mfap4(4of4)	611	456.359	0	0
klhl38(2of2)	1450	1295.12	10	0.439953
ins	573	418.577	53	7.21465
hoxa2b	627	472.22	19	2.29258
gtf2ird2(2of3)	890	735.117	90	6.97591
fzd3(4of4)	369	218.959	34	8.84773
fgfbp1(3of3)	1392	1237.12	27	1.24356
fgf11(2of2)	483	329.583	4	0.691528
elovl4(6of6)	471	317.682	0	0
deptor(3of3)	384	233.317	1	0.244213
cdkn1c(2of2)	213	84.4498	26	17.5424
adh5(4of4)	1537	1382.12	62	2.55601
a2ml1(4of4)	1662	1507.12	0	0
glipr2(2of2)	687	532.172	68	7.28067
pax6(4of4)	1522	1367.12	39.5626	1.6489
fgf22	3384	3229.12	5	0.0882269
cdk14(3of3)	461	307.838	24	4.44226
ccni2	2524	2369.12	1654.46	39.791
polq	5318	5163.12	1203	13.276
fgf12(2of2)	4868	4713.12	654.26	7.90965
vps52	3162	3007.12	1032	19.5544
rps29	345	196.457	13073	3791.61
cfap46(1of2)	3396	3241.12	127.808	2.24686
sash1(2of2)	7689	7534.12	1101	8.32664
pla2g1b(3of3)	2329	2174.12	2	0.0524158
krt222	2245	2090.12	28.8108	0.785417
pdp1(3of3)	2695	2540.12	5	0.112158
mtus2(2of2)	2679	2524.12	39	0.88038
mtf2(2of2)	2345	2190.12	1595.75	41.5157
lin37	1710	1555.12	764	27.9927
cfap46(2of2)	2985	2830.12	152.192	3.0641
phf14	3730	3575.12	2822	44.9761
chd3(2of2)	8348	8193.12	38	0.264271
slc7a3	4392	4237.12	1132	15.2227
nkx1_2	988	833.117	11	0.752318
ghsr(4of4)	2292	2137.12	1	0.0266616
cdhr5(3of3)	3497	3342.12	79.6693	1.35826
kdm2a(3of3)	3877	3722.12	1515.67	23.2022
fgf20(2of2)	1818	1663.12	55	1.88432
fgf4	924	769.117	1	0.0740837
cdh23(2of3)	6397	6242.12	340	3.10357
cdh23(3of3)	5108	4953.12	32	0.368117
ppp2r2b	3395	3240.12	261	4.58981
kdm6b(2of2)	8093	7938.12	5444	39.0765
sphk1(3of3)	4203	4048.12	168.8	2.37593
sirt1	2233	2078.12	1033	28.3234
fgf3	1999	1844.12	74	2.28643
rps11	604	449.45	17709	2245.06
myo19	3063	2908.12	308	6.03467
fgf17	720	565.117	145	14.6199
rpl13	948	793.117	33254	2389.03
lect1(2of2)	1771	1616.12	2	0.0705135
rnaseh2a(1of2)	879	724.117	473	37.2192
rnaseh2a(2of2)	1087	932.117	435.646	26.6304
rpl32	525	370.891	23599	3625.45
creb1(5of5)	1396	1241.12	86	3.94821
prkab1(2of2)	1730	1575.12	2358	85.2994
slc1a2(3of3)	3930	3775.12	135	2.0376
gabrb3(3of3)	1853	1698.12	2	0.0671085
c12orf65	699	544.172	363	38.0089
setd1b(3of3)	7551	7396.12	714	5.50059
prdm2(2of2)	6595	6440.12	1393	12.3246
hoxa7	996	841.117	52.5702	3.56121
trpc7(1of2)	3233	3078.12	3	0.055533
xcr1(2of4)	1090	935.117	0	0
cep112	3057	2902.12	744	14.6074
idh2(2of2)	1777	1622.12	10288	361.38
grb7	2726	2571.12	74	1.63993
ttc30a1	1814	1659.12	383	13.1534
ppp1r13b(1of2)	4651	4496.12	773	9.79618
bcl9l(1of2)	5353	5198.12	450.688	4.9402
hipk2(5of6)	4244	4089.12	0	0
bloc1s4	1673	1518.12	485	18.2034
bphl	1251	1096.12	71	3.69076
fam184a(1of2)	4461	4306.12	134	1.7731
zfp330	1254	1099.12	2434	126.18
gfra1(5of7)	2172	2017.12	140	3.95468
st6galnac6	2249	2094.12	261	7.10157
chrnb1(2of2)	2987	2832.12	182	3.66164
cldn19(2of4)	1795	1640.12	1	0.0347408
pnp(3of5)	1943	1788.12	122	3.88758
cops4	1687	1532.12	1893	70.4001
LOC107372748	1209	1054.12	2213	119.621
gale	1368	1213.12	1423	66.837
lcp2(1of2)	1717	1562.12	31	1.13074
acaa2	1760	1605.12	3557	126.268
exosc9	1497	1342.12	1607	68.2245
wdr73	2271	2116.12	753	20.2754
chrna4	2777	2622.12	10.2494	0.222722
prpf39(1of2)	3001	2846.12	6188	123.883
zcchc8	2425	2270.12	644	16.1641
anapc15	1978	1823.12	1176	36.7543
csf1r(2of2)	4048	3893.12	151	2.21001
capsl	951	796.117	22	1.57457
rpusd4	1375	1220.12	185	8.63943
hist1h1b(1of6)	1338	1183.12	16971	817.323
tmem100(1of2)	1399	1244.12	134	6.13703
trerf1(1of2)	1993	1838.12	0	0
msh6	5452	5297.12	5767	62.0334
znf235(31of148)	2101	1946.12	287.867	8.42826
fam83h(1of2)	7544	7389.12	1449	11.1735
pcdh1(2of2)	4943	4788.12	17	0.202301
lsamp	1957	1802.12	17	0.537503
huwe1	14690	14535.1	31218	122.377
tapbp	1820	1665.12	110	3.76411
ccdc90b	1162	1007.12	684	38.6982
txn2	931	776.117	639	46.9125
LOC107396618	1471	1316.12	0	0
zscan22(1of6)	1284	1129.12	547.91	27.6494
tmem229a	3057	2902.12	31	0.608642
tnfaip8l3	1407	1252.12	59.1182	2.69024
trim33(2of2)	4263	4108.12	2350	32.5942
tnmd	1121	966.117	52	3.06682
sgms2(1of2)	1664	1509.12	19	0.717374
c11orf31	669	514.172	88	9.75189
hspd1	2406	2251.12	14630	370.306
plaa	2629	2474.12	1260	29.0178
cers5(2of2)	1769	1614.12	163	5.75397
cxorf21	3671	3516.12	30	0.486153
ier3ip1(1of2)	618	463.313	479	58.9082
htr3a(4of11)	1953	1798.12	0	0
rnd2(2of2)	1666	1511.12	359	13.5367
lcmt2	2407	2252.12	383	9.68998
serpini1	1617	1462.12	93	3.62423
LOC107383633	1566	1411.12	3	0.121136
csmd3(7of9)	3906	3751.12	729	11.0734
rab27b(2of2)	3663	3508.12	425	6.90287
jag2(2of2)	5861	5706.12	1270	12.6817
zbtb39	4003	3848.12	235	3.47964
brd7	2004	1849.12	2336	71.9819
LOC107372370	2401	2246.12	245	6.21511
schip1(2of3)	1727	1572.12	8	0.289948
nqo1(2of6)	992	837.117	14.798	1.00724
ppil3	1088	933.117	926	56.5444
prr16(1of2)	2696	2541.12	24.0451	0.539158
LOC107395317	549	394.66	0	0
LOC107382444	1404	1249.12	1	0.0456154
fpgs	2926	2771.12	635	13.0567
lrriq1	4375	4220.12	121	1.63371
cetn3	1119	964.117	1458	86.1673
rab1a(3of3)	1747	1592.12	2000.87	71.6076
c1orf112	3098	2943.12	750	14.5201
znf721(2of2)	2452	2297.12	408.372	10.1295
cdh18	3633	3478.12	46.7384	0.765676
runx1t1	5292	5137.12	463.071	5.13621
kiaa1324l(3of3)	4699	4544.12	212	2.65828
glrx2	1214	1059.12	171	9.19956
irf8(2of2)	2087	1932.12	14	0.412866
ankrd63(2of2)	2030	1875.12	6	0.182321
arhgap44(2of2)	4675	4520.12	93	1.17233
nol10	2488	2333.12	994	24.2753
gipc1(2of2)	2508	2353.12	267.787	6.48426
nlrx1(1of2)	905	750.117	119	9.03926
scarb2(2of3)	3460	3305.12	6636	114.402
atg9a(1of2)	6178	6023.12	946	8.94921
pvr(2of2)	2161	2006.12	226	6.419
cadm2(1of3)	3162	3007.12	33	0.625286
mmadhc(2of2)	2764	2609.12	811	17.711
ogdh(2of2)	4412	4257.12	3982	53.2967
ehbp1l1	8981	8826.12	369	2.38216
zdhhc8(3of3)	3023	2868.12	6	0.119198
tra2b(1of2)	1477	1322.12	2919	125.8
LOC107378154	1251	1096.12	0	0
myl1(1of2)	1209	1054.12	2105	113.783
plod1	3306	3151.12	2356	42.6016
ces1	2591	2436.12	307	7.18051
wfdc3(5of7)	678	523.172	0	0
pnpla2(3of5)	2664	2509.12	3	0.0681264
camsap1(2of2)	5158	5003.12	393	4.47576
capn3(2of2)	4739	4584.12	118.609	1.47427
laptm4b(2of2)	2346	2191.12	81	2.10637
rbm15b	3588	3433.12	930	15.4351
LOC107382835	3617	3462.12	2057	33.8538
elp5	1145	990.117	935	53.8071
ticrr	6238	6083.12	1267	11.8677
tnip1(1of4)	1229	1074.12	26	1.37923
ackr4(2of2)	1470	1315.12	0	0
rps18	921	766.117	15910	1183.29
tmem151b(3of3)	3160	3005.12	13	0.246489
otop1	3578	3423.12	17	0.282971
cxcl1(2of2)	1001	846.117	0	0
nccrp1	1296	1141.12	5152	257.253
tmem208	1305	1150.12	913	45.2318
msantd1	1581	1426.12	333	13.3047
wdr4	1701	1546.12	802	29.5561
prokr2(1of2)	1919	1764.12	8	0.258391
moxd2	3023	2868.12	76.549	1.52075
gabrr2(3of3)	1896	1741.12	65.7388	2.15134
zkscan2(1of2)	1067	912.117	916.263	57.238
zscan22(2of6)	2833	2678.12	560.901	11.9336
ttc16	1965	1810.12	29	0.912864
cd2ap	3134	2979.12	753	14.402
ptprj	7223	7068.12	245	1.97505
rag2	2279	2124.12	0	0
ppp2r2d	2875	2720.12	2055	43.0466
snai2(3of3)	1100	945.117	435	26.2252
slc48a1(1of2)	1753	1598.12	256.119	9.13162
