target_id	length	eff_length	est_counts	tpm
col11a2	1086	871.241	109	8.60915
runx2(2of2)	837	622.307	0	0
gtf2ird2(3of3)	574	361.596	3	0.570913
mt_nd4	1381	1166.24	2147	126.682
mt_co1	1545	1330.24	50390	2606.67
hoxb9(2of2)	827	612.307	129	14.4975
mt_nd2	1036	821.241	169	14.1608
mt_cyb	1137	922.241	1261.79	94.1487
mt_nd1	975	760.241	250	22.6288
sox11(2of2)	1139	924.241	8	0.59563
mt_co2	691	476.778	10736	1549.52
mt_nd5	1842	1627.24	1083	45.7982
zmym1(14of14)	1113	898.241	0	0
sphk1(2of3)	500	290.122	19	4.50656
smdt1(2of2)	762	547.477	191	24.0071
smc6(2of2)	699	484.778	1	0.141948
sebox(2of2)	714	499.582	0	0
rpl38	332	138.981	6683	3308.95
ppp1r3a(4of4)	255	81.0143	382	324.47
poln	753	538.477	3	0.383377
pla2r1(3of3)	765	550.423	0	0
pde4d(3of3)	1495	1280.24	22	1.18251
pcsk7(2of2)	317	126.927	0	0
nlrc3(24of24)	662	447.963	0	0
necab1(4of4)	232	66.5969	14	14.4659
mt_nd6	519	308.275	698	155.808
mt_nd4l	297	111.426	1738	1073.33
mt_nd3	349	153.078	44	19.7794
mt_co3	784	569.367	2860	345.658
mt_atp8	168	34.4195	13	25.9903
mt_atp6	683	468.825	364	53.4273
mfap4(4of4)	611	397.722	0	0
klhl38(2of2)	1450	1235.24	29	1.61554
ins	573	360.596	9	1.71749
hoxa2b	627	413.398	29	4.82728
gtf2ird2(2of3)	890	675.241	85	8.66228
fzd3(4of4)	369	169.688	28	11.3548
fgfbp1(3of3)	1392	1177.24	13	0.759889
fgf11(2of2)	483	274.101	2	0.502101
elovl4(6of6)	471	262.646	0	0
deptor(3of3)	384	182.663	0	0
cdkn1c(2of2)	213	55.5509	0	0
adh5(4of4)	1537	1322.24	20	1.04086
a2ml1(4of4)	1662	1447.24	0	0
glipr2(2of2)	687	472.778	20	2.91102
pax6(4of4)	1522	1307.24	1	0.0526401
fgf22	3384	3169.24	0	0
cdk14(3of3)	461	253.303	2	0.543328
ccni2	2524	2309.24	1005.77	29.9709
polq	5318	5103.24	143	1.92825
fgf12(2of2)	4868	4653.24	576.172	8.52057
vps52	3162	2947.24	961	22.4378
rps29	345	149.753	16500	7581.95
cfap46(1of2)	3396	3181.24	29.743	0.64337
sash1(2of2)	7689	7474.24	863.003	7.94543
pla2g1b(3of3)	2329	2114.24	0	0
krt222	2245	2030.24	12	0.40673
pdp1(3of3)	2695	2480.24	1	0.0277446
mtus2(2of2)	2679	2464.24	32	0.893592
mtf2(2of2)	2345	2130.24	512.906	16.5684
lin37	1710	1495.24	552	25.4039
cfap46(2of2)	2985	2770.24	63.257	1.57131
phf14	3730	3515.24	1481	28.9916
chd3(2of2)	8348	8133.24	15	0.126911
slc7a3	4392	4177.24	215	3.54178
nkx1_2	988	773.241	0	0
ghsr(4of4)	2292	2077.24	3	0.0993817
cdhr5(3of3)	3497	3282.24	35.3011	0.740099
kdm2a(3of3)	3877	3662.24	566.899	10.652
fgf20(2of2)	1818	1603.24	30	1.28764
fgf4	924	709.241	0	0
cdh23(2of3)	6397	6182.24	61	0.678979
cdh23(3of3)	5108	4893.24	13	0.182818
ppp2r2b	3395	3180.24	209	4.52229
kdm6b(2of2)	8093	7878.24	2062	18.0107
sphk1(3of3)	4203	3988.24	86.816	1.49793
sirt1	2233	2018.24	101	3.44366
fgf3	1999	1784.24	21	0.809912
rps11	604	390.88	22500	3961.05
myo19	3063	2848.24	27	0.652318
fgf17	720	505.582	24	3.26657
rpl13	948	733.241	50125	4704.13
lect1(2of2)	1771	1556.24	3	0.132653
rnaseh2a(1of2)	879	664.241	66	6.83739
rnaseh2a(2of2)	1087	872.241	94.6283	7.46547
rpl32	525	314.086	23452	5138.11
creb1(5of5)	1396	1181.24	198	11.5345
prkab1(2of2)	1730	1515.24	2427	110.22
slc1a2(3of3)	3930	3715.24	47	0.870529
gabrb3(3of3)	1853	1638.24	0	0
c12orf65	699	484.778	111	15.7562
setd1b(3of3)	7551	7336.24	419.002	3.9302
prdm2(2of2)	6595	6380.24	1249	13.4709
hoxa7	996	781.241	381.014	33.5604
trpc7(1of2)	3233	3018.24	14	0.319188
xcr1(2of4)	1090	875.241	1	0.0786221
cep112	3057	2842.24	259	6.27063
idh2(2of2)	1777	1562.24	2455	108.137
grb7	2726	2511.24	124	3.39786
ttc30a1	1814	1599.24	92	3.95864
ppp1r13b(1of2)	4651	4436.24	599	9.29146
bcl9l(1of2)	5353	5138.24	356.941	4.78029
hipk2(5of6)	4244	4029.24	0	0
bloc1s4	1673	1458.24	329	15.5253
bphl	1251	1036.24	74	4.91409
fam184a(1of2)	4461	4246.24	152.001	2.46328
zfp330	1254	1039.24	445	29.4656
gfra1(5of7)	2172	1957.24	3	0.105475
st6galnac6	2249	2034.24	708	23.9499
chrnb1(2of2)	2987	2772.24	92	2.28365
cldn19(2of4)	1795	1580.24	0	0
pnp(3of5)	1943	1728.24	3	0.119451
cops4	1687	1472.24	1393	65.1095
LOC107372748	1209	994.241	773	53.5008
gale	1368	1153.24	138	8.23439
lcp2(1of2)	1717	1502.24	33	1.51163
acaa2	1760	1545.24	282	12.5581
exosc9	1497	1282.24	515	27.6382
wdr73	2271	2056.24	208	6.96084
chrna4	2777	2562.24	9.74904	0.261827
prpf39(1of2)	3001	2786.24	1379	34.0579
zcchc8	2425	2210.24	322	10.0251
anapc15	1978	1763.24	86	3.35629
csf1r(2of2)	4048	3833.24	45	0.807828
capsl	951	736.241	26	2.43011
rpusd4	1375	1160.24	179	10.6164
hist1h1b(1of6)	1338	1123.24	1432.38	87.752
tmem100(1of2)	1399	1184.24	71	4.12563
trerf1(1of2)	1993	1778.24	0	0
msh6	5452	5237.24	452	5.93893
znf235(31of148)	2101	1886.24	103.525	3.77678
fam83h(1of2)	7544	7329.24	864	8.11198
pcdh1(2of2)	4943	4728.24	3	0.043661
lsamp	1957	1742.24	56.5573	2.23384
huwe1	14690	14475.2	8349	39.69
tapbp	1820	1605.24	3	0.128604
ccdc90b	1162	947.241	309	22.4476
txn2	931	716.241	306	29.3991
LOC107396618	1471	1256.24	2	0.109554
zscan22(1of6)	1284	1069.24	446.657	28.7456
tmem229a	3057	2842.24	13	0.314742
tnfaip8l3	1407	1192.24	1	0.0577176
trim33(2of2)	4263	4048.24	967	16.4374
tnmd	1121	906.241	20	1.51865
sgms2(1of2)	1664	1449.24	41	1.94677
c11orf31	669	454.918	31	4.68922
hspd1	2406	2191.24	4469	140.344
plaa	2629	2414.24	74	2.10923
cers5(2of2)	1769	1554.24	46	2.03663
cxorf21	3671	3456.24	30	0.597296
ier3ip1(1of2)	618	404.602	197	33.5051
htr3a(4of11)	1953	1738.24	0	0
rnd2(2of2)	1666	1451.24	126	5.97452
lcmt2	2407	2192.24	241	7.56486
serpini1	1617	1402.24	167	8.19532
LOC107383633	1566	1351.24	4	0.203704
csmd3(7of9)	3906	3691.24	497	9.26523
rab27b(2of2)	3663	3448.24	47	0.937934
jag2(2of2)	5861	5646.24	1994	24.3018
zbtb39	4003	3788.24	114	2.07081
brd7	2004	1789.24	248	9.53795
LOC107372370	2401	2186.24	280	8.81317
schip1(2of3)	1727	1512.24	5	0.227521
nqo1(2of6)	992	777.241	7.33612	0.649505
ppil3	1088	873.241	316	24.9015
prr16(1of2)	2696	2481.24	13	0.360534
LOC107395317	549	337.294	0	0
LOC107382444	1404	1189.24	0	0
fpgs	2926	2711.24	340	8.62945
lrriq1	4375	4160.24	25	0.413517
cetn3	1119	904.241	187	14.2308
rab1a(3of3)	1747	1532.24	413.779	18.5829
c1orf112	3098	2883.24	81	1.9332
znf721(2of2)	2452	2237.24	573.658	17.6446
cdh18	3633	3418.24	0	0
runx1t1	5292	5077.24	222.056	3.00959
kiaa1324l(3of3)	4699	4484.24	98	1.50387
glrx2	1214	999.241	51	3.51214
irf8(2of2)	2087	1872.24	4	0.147018
ankrd63(2of2)	2030	1815.24	0	0
arhgap44(2of2)	4675	4460.24	86.0005	1.32683
nol10	2488	2273.24	248	7.50721
gipc1(2of2)	2508	2293.24	121.127	3.63467
nlrx1(1of2)	905	690.241	43	4.28686
scarb2(2of3)	3460	3245.24	1367	28.9864
atg9a(1of2)	6178	5963.24	688.853	7.94908
pvr(2of2)	2161	1946.24	34	1.20214
cadm2(1of3)	3162	2947.24	10	0.233484
mmadhc(2of2)	2764	2549.24	352	9.50176
ogdh(2of2)	4412	4197.24	1551	25.4285
ehbp1l1	8981	8766.24	187.001	1.46792
zdhhc8(3of3)	3023	2808.24	2	0.0490081
tra2b(1of2)	1477	1262.24	249	13.5747
LOC107378154	1251	1036.24	0	0
myl1(1of2)	1209	994.241	542	37.5128
plod1	3306	3091.24	2546	56.6758
ces1	2591	2376.24	103	2.98276
wfdc3(5of7)	678	463.918	1.01508	0.150567
pnpla2(3of5)	2664	2449.24	3	0.0842873
camsap1(2of2)	5158	4943.24	453	6.30607
capn3(2of2)	4739	4524.24	23.2534	0.353682
laptm4b(2of2)	2346	2131.24	17	0.548894
rbm15b	3588	3373.24	355	7.24191
LOC107382835	3617	3402.24	289	5.84528
elp5	1145	930.241	469	34.6936
ticrr	6238	6023.24	233	2.66194
tnip1(1of4)	1229	1014.24	58	3.93513
ackr4(2of2)	1470	1255.24	0	0
rps18	921	706.241	19306	1881.1
tmem151b(3of3)	3160	2945.24	0	0
otop1	3578	3363.24	0	0
cxcl1(2of2)	1001	786.241	0	0
nccrp1	1296	1081.24	1701	108.256
tmem208	1305	1090.24	118	7.44786
msantd1	1581	1366.24	60	3.02201
wdr4	1701	1486.24	1467	67.9224
prokr2(1of2)	1919	1704.24	1	0.0403777
moxd2	3023	2808.24	16	0.392065
gabrr2(3of3)	1896	1681.24	27.7569	1.13609
zkscan2(1of2)	1067	852.241	475.77	38.4155
zscan22(2of6)	2833	2618.24	548.248	14.4092
ttc16	1965	1750.24	20	0.786329
cd2ap	3134	2919.24	282	6.64739
ptprj	7223	7008.24	325	3.19115
rag2	2279	2064.24	3	0.100008
ppp2r2d	2875	2660.24	920	23.7979
snai2(3of3)	1100	885.241	127	9.87221
slc48a1(1of2)	1753	1538.24	196.187	8.77645
utp20	8888	8673.24	942	7.47381
camkk2	2992	2777.24	292	7.23505
rmdn2	5154	4939.24	286	3.98454
bbs7	3146	2931.24	185	4.34303
actr2(2of2)	2492	2277.24	428	12.9332
tk1	1244	1029.24	90	6.01724
pfkp(2of2)	3184	2969.24	4	0.0927015
gipc1(1of2)	1967	1752.24	321	12.6062
zbtb26	2058	1843.24	405.73	15.147
tnk2(2of3)	5143	4928.24	48	0.670226
igfals	2232	2017.24	0	0
lztr1(2of2)	1534	1319.24	233	12.1536
notch1(3of3)	3213	2998.24	111	2.54759
heatr5b	6475	6260.24	1447	15.9056
fgfr3	6577	6362.24	678	7.33317
add3(2of2)	4617	4402.24	1581.71	24.7243
rims1(2of2)	3313	3098.24	34.0717	0.756748
dcbld2(1of2)	3266	3051.24	251	5.66069
tecpr2(4of4)	1711	1496.24	8	0.367926
myo7a(2of8)	1863	1648.24	11	0.459245
usf2(1of2)	3363	3148.24	1480	32.3494
pcdhb16(3of3)	3320	3105.24	22.5356	0.499398
parg(3of3)	2734	2519.24	12	0.327781
pcdh7(2of2)	7997	7782.24	82.103	0.725984
mapk10	5696	5481.24	79.1371	0.993513
psmg4	604	390.88	336	59.1517
mid1ip1(4of4)	2659	2444.24	41	1.15428
plbd2	1920	1705.24	184	7.42513
gpr158(1of2)	6421	6206.24	30.1257	0.334026
hist1h4c(5of12)	1266	1051.24	215.75	14.1228
clec3b(1of2)	1201	986.241	2	0.139547
crtc3	5270	5055.24	383	5.2135
ccdc53	2397	2182.24	196	6.18053
sike1	1797	1582.24	671	29.1825
donson	2615	2400.24	36.2275	1.03862
bora	2268	2053.24	4	0.134058
dido1(2of2)	11079	10864.2	2481	15.7145
nrg2(3of3)	2417	2202.24	11	0.343716
prodh2	1767	1552.24	7.83099	0.34716
zbtb21	4560	4345.24	403	6.3821
heatr6	3972	3757.24	160.984	2.94839
gabrr2(1of3)	2244	2029.24	7.00267	0.237466
mcoln2	3761	3546.24	7	0.135832
prmt6	1270	1055.24	53	3.45618
ddx11	3418	3203.24	32	0.687437
cyp4f22	2111	1896.24	119.967	4.35352
rnd1(2of2)	3201	2986.24	66.0006	1.52088
khdrbs1(2of2)	2478	2263.24	4740	144.119
otud6b	1305	1090.24	99	6.24863
trmt2b(1of2)	1909	1694.24	125.326	5.09025
zfp503(1of2)	2627	2412.24	106	3.02383
kcnma1(1of2)	9013	8798.24	41	0.320671
zp3(7of19)	1223	1008.24	0	0
pik3cd	4795	4580.24	0	0
capn5(2of4)	2604	2389.24	1	0.0288013
