id,qval,Log2Fold
leprot,0.002490877,0.417339572
fastkd2,0.002496289,0.452936365
grsf1,0.002504207,0.327948732
chad,0.002510786,0.760227485
blmh(1of2),0.002515821,-0.45260377
pfkp(2of2),0.002521195,-0.580634133
ptgfrn,0.002527069,-0.513888998
phb,0.002530657,0.459794568
tbc1d22b,0.002535861,-0.476636948
rnd2(1of2),0.00254048,0.729208062
rps6kl1,0.002542016,0.63552776
pcsk5(4of5),0.002543111,0.472524147
sesn1(1of2),0.002547897,0.324837501
adck3(2of3),0.002554463,0.405580264
mrc2(6of12),0.002555398,-0.523528611
exosc10,0.0025669,0.410050319
alyref(1of2),0.002570542,0.426445836
kcnj10(1of2),0.002571682,-0.644698639
creb3l3(3of3),0.002575031,0.421239206
gmpr2,0.002583272,0.364767341
akap13,0.002584341,-0.446793272
ddx3y,0.002586284,-0.342738038
ppm1h(1of3),0.002586891,-0.653953499
pigm,0.002587359,0.399385311
tmem128,0.002587994,0.42224371
tmcc3(1of2),0.002589911,0.449699624
mettl24,0.002595413,0.493875609
rgs7,0.002595631,-0.580851071
ubl3(2of2),0.002601405,0.571599891
arl3(3of3),0.00261117,0.640256393
phf10,0.002615279,0.512941172
tatdn3,0.00262465,0.321121054
hmbox1(3of3),0.002626527,-0.45040761
uqcr11(2of2),0.002631744,0.328424305
kat7(1of2),0.002635301,0.317768237
mbip,0.002636919,0.409778393
traf7,0.002637514,-0.316102859
tldc1,0.002640784,0.549620691
psd(1of2),0.00264974,-0.48472497
znf235(93of148),0.002650922,0.377665925
lamb1(1of4),0.002658839,-0.406201997
vamp7,0.002661993,0.354212244
msantd4(2of2),0.002663866,0.327861544
pgbd4(12of12),0.002671244,-0.573349675
atg101,0.002671628,0.317925631
ufd1l,0.002672774,0.402100396
cdk5rap1,0.002673102,0.343085689
itga2,0.002675739,0.676325417
LOC107389088,0.002677856,-0.763354612
hnrnpd,0.002679102,0.402825753
cby1,0.002682258,0.443169983
nova1(1of2),0.002683801,-0.760457433
taf6,0.002686008,0.409476891
serinc1(4of4),0.002687675,0.541678153
prkcsh(1of2),0.002689158,0.437029597
ube2l3(2of2),0.002691992,0.371355917
pole3,0.002695917,0.327291572
lrp8(1of4),0.002699483,0.39777197
phf21a,0.002699718,-0.390560708
srpk3(3of3),0.002705739,-0.522391376
znf345,0.002716667,0.519418329
chd6,0.002726947,-0.704413639
stxbp1(1of3),0.002730077,-0.503558734
zfp36l2,0.002738121,0.540602501
hsd17b6(2of2),0.002740659,0.494969726
mpc2,0.002742214,0.42948014
pdhb,0.002746165,0.317418243
smoc1,0.002750332,-0.663874911
map7(2of2),0.002755104,-0.51465543
rhoa(4of5),0.002759441,-0.360548893
ralgapa2,0.002760952,0.335487842
b3galt1(2of2),0.002764574,-0.508819779
mybpc1,0.002764904,-0.370191191
LOC107372748,0.002768688,0.493970862
erh(1of2),0.002770436,0.378076119
rfc4,0.002773621,0.409737677
rnf214,0.00277535,-0.34599463
rbms1(2of2),0.002777738,0.455398564
nol7,0.002789975,0.318382914
pard3b(1of3),0.002794519,-0.40780257
shmt2,0.002795491,0.475147704
senp1(1of3),0.002800961,-0.31603217
coro1c(3of3),0.002801105,0.326660399
fez2(2of2),0.002811374,-0.384979653
harbi1(20of28),0.002814967,-0.567291665
elp6,0.002817697,0.339713835
ankrd26,0.002819823,-0.327589238
atp5o,0.002821466,0.320494464
eps15(1of2),0.002822986,-0.396061584
dis3l2,0.002829602,-0.644916081
LOC107384731,0.002832565,-0.485499888
urb1,0.002840876,-0.462584347
tmem47(2of3),0.002840896,0.36540195
znf235(20of148),0.002847178,0.339171418
mrto4,0.002849891,0.315498753
irf2bp2(3of3),0.002854595,0.322846517
tbc1d14(2of3),0.002855248,0.547689166
setdb1(3of4),0.002858294,0.313527372
atp6ap2,0.00285944,0.519859899
pnpla2(4of5),0.002859625,0.326892054
znf235(80of148),0.002864842,0.457976912
LOC107379206,0.002868489,-0.740028908
med7,0.002871551,0.499013087
gpat4(1of2),0.002872555,0.330180322
LOC107392522,0.002876784,0.348213711
bcr(2of2),0.002878625,-0.341661468
egr2(1of2),0.002879601,0.520681124
dixdc1(1of2),0.002888556,-0.367332813
nsfl1c,0.002890053,0.316912088
cnfn(7of7),0.002891118,0.823364261
tmem218,0.002891631,0.368158322
gin1(8of10),0.002897056,-0.595669087
prss27(2of2),0.002899535,0.420945084
ei24,0.002900095,0.326992904
sel1l3(1of2),0.002903682,-0.397630211
c17orf49,0.002903856,0.315972059
capza2,0.002905129,0.381744107
rhbdl2,0.002906609,0.52807177
zswim7,0.002909313,-0.766570532
stx4,0.002911617,0.423949441
nf1(1of2),0.002912691,-0.329453715
nefh(5of6),0.002922283,-0.472729233
tinagl1,0.002927593,0.413675696
mogat2(1of3),0.002929032,0.326967728
scoc,0.002932854,0.316123769
slc15a2,0.002941459,-0.335025437
cpne5(1of2),0.002946538,-0.423218414
srebf2,0.002955387,-0.447454625
larp1(2of2),0.002962088,-0.576751737
tomm20(2of2),0.002965733,0.358800087
slc27a2(1of3),0.002966702,-0.608869146
p4htm(2of2),0.002975665,-0.409767353
plekhf2,0.002981623,0.525423085
ttn(1of4),0.002983179,-0.467135328
cdca4(2of2),0.00298319,0.669419698
krt8(1of7),0.002985076,-0.397678363
ptp4a2(2of2),0.002989048,0.340001153
znf235(33of148),0.003005537,0.575907905
coq4,0.003006392,0.530550012
gsap,0.003008448,-0.538841348
wdr31,0.003011468,-0.411102328
tspan9(3of3),0.003013837,0.631050984
LOC107382953,0.003013984,0.663264167
slc7a2(2of3),0.003019595,0.495391707
alg2,0.003030946,0.34728242
sox14(2of2),0.003032232,-0.716314561
dnttip1,0.003032985,0.376127597
hspa5,0.003033916,-0.465335441
sav1,0.003035561,0.36009292
lin9,0.003035887,0.46964806
tmem53(1of3),0.003036328,0.656841069
wnk1(1of2),0.003043639,-0.40474427
igsf5(1of2),0.003050701,-0.553253779
rab7a(3of3),0.003051023,0.509292517
mfsd1(1of2),0.00306313,0.365172489
cysltr1(1of2),0.003065813,-0.599138792
crp(2of2),0.003069194,0.524669851
pick1,0.003070859,0.321904791
ppp1cc(2of2),0.003072251,0.479838352
sec22b,0.003077467,0.326999483
ppp1r21,0.003083473,-0.32414812
iffo1(2of2),0.003101613,-0.525146864
hk1(1of2),0.003102501,-0.341208376
hnrnpr,0.003114258,0.31088034
abcd4,0.003116362,-0.364651174
ints10,0.003119446,0.481401198
pigr(2of6),0.003119903,-0.514866291
rps6kb1,0.003121929,0.438567944
sbk1(3of3),0.003124709,-0.407393234
slc25a16,0.003130936,0.399483724
rhobtb3,0.003133228,-0.554904999
ptcd1,0.003139525,0.35838722
borcs5,0.003141909,0.408468172
hoxa2(2of2),0.003144317,0.376794777
ebna1bp2(2of2),0.003147245,-0.821313795
kat2a,0.003148797,-0.339629956
ier5l(2of2),0.00316017,0.348649396
cnot10,0.003160471,0.322615725
fign(2of3),0.003165045,0.311552969
tmed5,0.003165737,0.404494775
hexb(2of2),0.003165855,-0.641457254
ccdc88a(3of3),0.003166597,-0.432165246
adprh(1of2),0.00316962,0.315343885
sufu,0.003170306,0.32758307
inpp5f,0.003171066,-0.420971262
tstd2,0.003181544,0.512570631
ahnak(2of6),0.003185674,-0.406085999
psmd5,0.003188561,0.549008394
smg9,0.003197348,0.430625542
per2(1of2),0.003198908,-0.312332667
n4bp2l2,0.00320708,0.354867877
pik3r3(2of2),0.003207574,0.393079107
tbc1d13,0.00321178,0.364235387
fuk,0.003212638,-0.581299288
atpif1(1of2),0.003215862,0.441038901
syne3(1of2),0.003226424,-0.318064407
pym1,0.00323024,0.319182847
myc(1of2),0.003233031,0.459004052
phlpp1(1of2),0.003236967,-0.340846912
arhgef9,0.00324839,-0.407310496
taf11,0.003258564,0.321733698
ift46(1of2),0.003261389,0.406924666
fnta,0.003268461,0.313878541
cyr61(1of5),0.003269162,0.503521692
inhbb(3of3),0.003273397,-0.471567086
usp45,0.003277002,0.368784005
nr2c2(2of2),0.003277249,-0.366063655
pole4,0.003281558,0.399813275
fuca2,0.003285404,0.478063221
xpo4(1of2),0.003304631,-0.594874981
abi2(1of2),0.003309405,-0.335091783
zbtb26,0.003310148,0.350430129
eif2ak4,0.003314025,-0.358643155
mtrf1l,0.003314366,0.412849325
hmcn1(7of8),0.0033219,-0.599252723
tbc1d32,0.003323137,-0.426284047
zc3h12a(1of3),0.003327245,0.650213453
spidr,0.003337457,-0.379278626
rps2,0.00334231,-0.350746115
mblac2,0.003347742,0.323823523
fbxl3(3of3),0.003358174,0.324165673
plrg1,0.003360532,0.309602661
qrsl1,0.00336873,0.310123262
dlx3(1of2),0.003371112,0.446194891
ttc39b(1of2),0.003379759,0.633622617
acad9,0.00338419,-0.314277103
tmem33,0.003391131,0.471822453
cep57(1of2),0.003394248,0.333919746
bag1,0.003394669,0.445899021
abhd5(2of2),0.003398239,0.397571853
ddx46,0.003399887,-0.415143719
snrnp40,0.003402392,0.317135148
ppp1r9b(1of2),0.003403092,-0.418513728
mum1,0.003404918,-0.457085845
eaf1(2of2),0.003405641,0.314983329
sgce(1of2),0.003405996,0.597907629
fam173a(1of2),0.003418884,-0.392572537
nle1,0.003426221,0.395300181
tmem182(1of3),0.003430867,0.396171511
cited1,0.00343297,0.345100924
bysl,0.003433064,0.38066525
tceanc,0.003435865,-0.543689803
tbc1d2,0.003439683,-0.433190055
znf273,0.003440048,-1.240810888
tbc1d16,0.003450708,-0.546191127
noc2l,0.003450918,0.346407185
znf235(57of148),0.003456374,0.683304251
tpm1(1of3),0.003457467,0.319141027
tmem251,0.003460821,0.365058147
stt3b(1of3),0.003471922,-0.421808117
fam117b,0.003480631,-0.525309633
rab24,0.00348347,0.41222176
sall1(2of3),0.003488644,-0.392657908
ddx31,0.003500186,0.354918159
kdm4a(1of3),0.003507357,-0.324924608
bub3,0.003507802,0.439710231
c11orf49,0.003509561,-0.463275744
tmem170a,0.003511923,0.350093523
zc3h18,0.003513064,-0.364912005
znf622,0.003519601,0.328810088
snx14(1of2),0.003536813,-0.450904689
wdr12,0.003543835,0.335603313
snapc4,0.003543878,-0.415641417
uqcc1,0.003550826,0.313117308
stap2(1of2),0.003565148,0.495387667
xcr1(4of4),0.003566323,0.458378015
ogfrl1(2of2),0.003572091,-0.750763928
arf6(2of3),0.003572438,0.395016301
nck2,0.00357981,0.354373218
trmt12,0.003581606,0.347244992
akr1a1(4of4),0.003586977,0.451548528
mapk8ip1(1of2),0.003591754,-0.623773092
smpd4,0.003596454,-0.319692589
alms1(3of3),0.003602812,-0.437496781
c1orf174,0.003605366,0.330370412
mrps15,0.00361031,0.334520184
ube3a(2of2),0.003611129,0.334126901
gtf2e2,0.003618749,0.422623496
rab5c(2of2),0.00362044,0.422692037
slc25a1(2of3),0.003622153,0.395746826
gpr137b(2of3),0.003623471,0.331621512
lgals1(2of2),0.003623945,1.063625916
dusp1,0.003625493,0.491520976
mtf2(1of2),0.003633351,-0.310154135
csdc2(2of2),0.003645676,-0.610780396
spsb4(2of2),0.003653936,0.316611324
trib2(1of2),0.00365757,0.91597931
pknox1,0.003659883,0.612153383
lrrc61,0.003660388,0.358464967
maf1,0.003661206,0.415760691
rab28,0.003663009,0.767390509
sh3kbp1(1of2),0.003666061,0.536997138
fhl4,0.003667967,0.614963168
ino80e,0.003677823,0.376755928
c14orf28,0.003679047,0.709847754
fbxl16,0.003686795,-0.414663082
xpo7,0.003687715,-0.362524116
magi3(1of4),0.003689037,-0.495143594
mut,0.003690684,0.324588502
kynu,0.003690687,0.560726847
tmem269,0.003697338,-0.407084247
garem1,0.003702023,-0.361245865
vamp4,0.003705081,-0.326889819
hnrnpa0(1of2),0.003722681,0.30954006
mrps16,0.003731374,0.43185181
slc25a28(2of3),0.00373239,0.511039603
rnf19b(3of3),0.003737413,-0.492205716
itsn2(2of2),0.003739182,-0.491206687
unc13c,0.003746552,-0.48192869
ak1,0.003748363,0.344508358
cox6b1(2of3),0.003752211,0.315895238
wbscr17,0.003753296,-0.71571723
lrp2(1of2),0.003769175,-0.356556327
gid4(1of2),0.003779321,0.337447653
poli,0.003779832,0.379939481
rpp30,0.003783887,0.361971393
snip1,0.003785778,0.405827907
lrig1,0.003796291,-0.349424055
jak1,0.003797838,-0.334797861
zc3h6(2of2),0.003806644,-0.322089824
narfl,0.003808608,0.344165753
col13a1(2of2),0.003816126,-0.531068138
rpa2,0.003816424,0.484802099
rsph9,0.003819925,0.474029753
clu,0.003824644,0.385013652
mocs1,0.003825454,0.34452254
slc41a1(1of2),0.003825919,-0.497458461
uqcrfs1,0.003830258,0.398555801
ifi44(1of2),0.003831714,-0.417878628
sh3pxd2b,0.003837826,-0.352521147
mt_nd3,0.003842668,-0.430913295
rpap3,0.003845801,0.314126357
poldip2,0.003854374,0.3051118
pigs,0.003856174,0.489340815
slc19a1,0.003857082,0.349626506
zfp512b,0.003857242,-0.506431719
lrrc17(1of2),0.003861636,0.418894009
bet1,0.003863575,0.331169783
cdkn1b(3of3),0.003870884,0.328791938
pdcd5,0.003879028,0.305293411
mecp2(2of2),0.003882024,-0.476592387
cep104,0.003893149,-0.357561848
znf235(96of148),0.003905393,0.457809191
enoph1,0.003926419,0.632422764
mrpl16,0.003937943,0.334150819
madd,0.003944612,-0.356073219
pax3(1of2),0.003952448,-0.472245228
vwa2,0.003955618,0.642184961
ppp1r42,0.003959289,-0.535575427
pfdn5,0.003959848,0.362753975
LOC107396500,0.003964613,0.412558791
gna14(1of3),0.003969668,-0.515053329
fam49b(1of3),0.003971093,0.606713866
alg9,0.003973842,-0.363532531
aar2,0.003977775,0.416601772
rgl1(4of4),0.003978253,-0.437250699
LOC107385842,0.003978908,-0.581210254
pik3ca(3of3),0.003979439,-0.371146027
uhrf2,0.003984647,-0.412865481
sept7(1of3),0.003988736,0.46011677
mrps11,0.003989881,0.321056841
tmed4,0.003990904,0.475204193
zeb1(2of2),0.004010741,-0.333254391
emc7,0.004016893,0.313432547
ctnnbl1,0.004022962,0.406757293
adrbk2,0.004023543,-0.466646739
cldn4(11of19),0.004035118,0.514235808
rnf165(1of2),0.004037145,-0.634731664
tmed3,0.004037677,0.535231439
sptbn1(5of6),0.00405286,-0.378074958
wbp2(1of2),0.004055353,0.436241627
fhod3(5of5),0.004056415,-0.434039546
ube2l3(1of2),0.004070631,0.408201366
hsd17b7(2of3),0.004081177,0.317083227
c1qtnf7,0.004083912,1.139451135
dnaja2(1of2),0.004088492,0.316525079
ptgir,0.004090716,-0.480704918
atp6v1e1(1of2),0.004100605,0.374614422
ccdc79,0.004112159,-0.469634185
znf692(2of2),0.004112314,-0.304098586
tnr,0.004115504,-0.449292382
plek2,0.004120896,0.535908793
fam212a(2of2),0.004129236,0.573806279
paics,0.004161312,-0.307423148
sh3d19(1of2),0.004167789,-0.393274176
csnk1e(1of2),0.004176664,0.303174606
flrt1(2of2),0.00417695,0.756358605
LOC107384259,0.0041869,0.381807082
eva1b,0.004201209,0.64329362
mrpl55,0.004203316,0.366450611
ccdc126,0.004211502,0.325261184
rap2c,0.004225611,0.36544419
ykt6,0.004232087,0.602224457
ap1ar,0.004236259,0.406124208
chst10,0.004236765,0.527357332
skida1,0.004240201,-0.555686162
mpp6(1of2),0.004241507,0.359447105
c3orf17,0.004246181,0.353549699
slc38a3(3of4),0.004249705,-0.436713274
psmc2,0.004256555,0.380701824
sept2(1of2),0.004262356,0.301033824
c11orf68,0.004271294,0.4442883
rprd1b,0.004279055,0.308547697
ankrd54,0.004283376,0.308878229
sdccag3,0.004285691,-0.32631651
col1a2(1of4),0.00430005,-0.561397078
sft2d1(2of2),0.004308425,0.367700495
tcf7l1(2of4),0.0043138,0.516342704
tefm,0.004327866,0.393966669
LOC107396817,0.004338348,0.311348958
slc5a3,0.004341188,0.734105374
rabgef1(1of3),0.004351301,0.455822898
csnk2a2(2of2),0.004361835,0.35785165
eif3i(1of2),0.004375628,0.345295991
sprtn,0.004386988,0.398447509
LOC107375217,0.004400377,0.406063163
srrm1,0.00440287,-0.337232532
clasp1(3of3),0.004405242,-0.316289772
wdr26,0.004405618,-0.362083572
lrrc58,0.004410934,0.518386917
tbca,0.0044126,0.417157054
ppp1cc(1of2),0.004417755,0.344777779
vps33b,0.004420576,0.352081115
zmym1(3of14),0.004420649,-0.365674974
zfp560(7of8),0.004422399,0.397572007
dcakd,0.004432008,0.347892673
fbxo30(1of3),0.004443511,0.439852518
nat9,0.004445253,0.424243835
tex10(1of2),0.004446633,-1.181832659
nudcd3,0.004458934,0.301714124
upp1,0.004464475,-0.725764508
hace1,0.004467252,-0.419267377
wdr44,0.004480369,-0.347765638
scamp1(1of2),0.004487129,-0.335567757
emg1,0.004492438,0.335232145
kdm8,0.00449596,0.31816669
hinfp(2of2),0.004502281,0.323717699
rnft2,0.004503432,0.432032577
ndufa9,0.004505269,0.453263174
triqk,0.004506682,0.322916488
retsat(2of3),0.004507747,-0.381672769
mtcl1(2of3),0.004508725,0.529641755
elk4(1of3),0.004509011,-0.330313584
usp14,0.00451269,0.312661606
ccsap(1of2),0.004515899,-0.443207158
rps19bp1,0.004530847,0.322910033
zc3h12b(2of2),0.004536675,-0.418829877
ppp1r27(1of2),0.004537336,0.599405871
abca4(1of2),0.004537959,-0.383314081
hbegf,0.004538106,0.326924373
bach2,0.004540211,-0.455741561
ppp2r5e,0.004542523,0.305180365
tdrd3,0.004543327,0.34940279
abhd10,0.004548549,0.434560846
c9,0.004563974,-0.318647057
plekhg6(2of2),0.004580548,-0.363076418
sbf2,0.0045887,-0.348335934
asf1a(1of2),0.004592455,0.303928857
apeh(1of2),0.004599616,-0.537125181
elovl1(1of2),0.004604657,0.426039045
mipep,0.004618501,0.347007893
fat3(2of2),0.004621415,-0.359710239
atf7ip(2of2),0.004630482,0.377770329
chrnb3(2of2),0.004635353,-0.410628063
itfg1(2of3),0.004651143,0.333031185
bcar3(1of2),0.004652067,0.390570207
ildr1(1of2),0.004653999,0.488319881
arhgap42(1of2),0.004657064,-0.423017305
arhgap35(1of2),0.004661736,-0.372613138
rbm12b(2of3),0.004671258,0.403588135
gtpbp1(1of2),0.00467295,0.368439342
kcnh7(3of3),0.004687802,-0.631881836
aurkb,0.0046901,0.50459591
faim(2of2),0.004696085,0.2993934
tm2d2,0.004698562,0.346330502
syf2,0.004702878,0.29721823
ptdss1(2of4),0.004704818,1.195082965
chordc1(1of2),0.004715357,0.437650611
prkag1,0.004717107,0.440083142
git2(2of2),0.004723409,-0.335232952
sptan1(3of23),0.004742343,0.30173502
fnbp4,0.004746184,-0.350874677
rnf5,0.004748951,0.300808439
samd12(1of2),0.004749794,-0.332501617
polr3f,0.004754748,0.299253873
iffo2,0.004755267,-0.469272481
aldoa,0.004755893,0.535779619
angptl4(1of2),0.004757055,0.357221797
cfhr1(2of2),0.004772796,-0.992880067
drc3,0.004779749,0.344607712
actr3(2of3),0.004780998,0.361184143
abhd14a,0.004781762,0.333841404
eif2s2,0.004784156,0.296732332
cd164,0.004794659,0.296527695
atg2b,0.004795356,-0.311194441
hoxb9(1of2),0.004797656,0.480222768
add2,0.004814001,-0.383067963
psme3,0.004820021,0.426859492
mafb(3of3),0.004826755,0.379967261
agl,0.004834839,-0.407055886
plag1,0.004835601,-0.428530638
baalc(2of2),0.004839336,0.785837431
usp47(3of4),0.004850332,-0.30981421
LOC107378213,0.004854894,-0.430352891
pin1,0.004860708,0.376817724
ttc32,0.004862726,0.3637066
gas8(2of2),0.004865821,0.351135814
cdc42bpb(1of2),0.004878444,-0.425089116
bub1(1of2),0.004887472,-0.577465117
ier3ip1(2of2),0.004889275,0.450434224
idh3b,0.00489807,0.471639858
birc6(1of2),0.004900228,-0.370533468
cd2bp2,0.004901987,0.295849706
prdm11,0.004904245,-0.491530024
chadl(2of2),0.004907567,-0.527271086
lgals3(4of6),0.004910643,0.362731665
c3orf58,0.004915128,0.354593839
st7(1of2),0.004927297,0.428426739
phax,0.004931801,0.372036251
sh3glb1(2of2),0.004936145,0.400599743
tmem116(2of2),0.004943535,-0.577040634
slc35b4,0.004944522,0.412709593
zdhhc13,0.004947218,0.371193135
c9orf78,0.004948537,0.347535954
tmem2,0.004952809,-0.40959378
ndc1,0.004954727,0.295425076
atp6v0b,0.004959474,0.670460137
ddx17,0.004961772,-0.29598851
speg(1of3),0.004968596,-0.355185756
tex2(2of4),0.004971599,0.368830621
psmf1,0.004972652,0.306727422
tenm4,0.004979952,-0.305203636
wdr45,0.004981752,0.36594149
slc38a6,0.004983769,-0.308902356
iars,0.004991278,-0.446488265
pigf,0.004992571,0.355931232
bri3,0.004995712,0.440613057
tspan5(2of2),0.004997557,0.620133183
thsd4(2of2),0.004997927,-0.608569535
xxylt1,0.005008859,0.427040799
ust,0.005010731,0.351214386
pold4,0.005014744,0.295037757
slc35a5,0.005018604,0.48127922
golga4,0.005028779,-0.385204682
lamtor2,0.005034567,0.387967924
fbxw7(3of3),0.005035975,-0.417484057
tmem17(1of2),0.005039269,0.349554709
ears2,0.00504745,0.362136812
rnf6(2of2),0.005047922,0.320619254
dnajb6,0.005055761,0.426500784
atp8b2(1of5),0.005072328,-0.468267151
alg5,0.005079242,0.321873232
fam53c,0.005086995,-0.448492652
cadm4(3of4),0.005089889,0.893776005
zscan29(9of9),0.005095972,0.376432955
mfsd5,0.005099917,0.459995923
rab14(1of2),0.005107511,0.35679415
armc9,0.005115533,-0.323960235
baiap2l2,0.005115974,-0.444435727
dnah5,0.005121228,-0.5415017
tsc2,0.005122336,-0.353508734
myl12a(1of2),0.005122927,0.372260093
smurf1,0.00512425,0.341734045
znf862(6of6),0.005129246,-0.444248798
znf468,0.005133669,0.919866601
dsn1,0.005135665,0.659093651
kpna2(3of3),0.005143127,-0.592733915
cwf19l2,0.005153191,-0.450404842
zbed5(8of11),0.005163276,-0.364435204
tada2b,0.005166579,-0.435221411
cnksr1,0.005167395,0.328711743
gramd1b(2of3),0.005173209,0.471401028
eif3d,0.005191023,0.294856399
angptl1(2of4),0.005195129,-0.511408811
nup85,0.005196675,0.299687808
snapc1(2of2),0.005196742,0.336623213
LOC107386907,0.005201703,-0.436034457
mtfr1l,0.005204564,0.479788226
nkrf,0.005204621,0.303708691
apba2(1of2),0.00520681,-0.299065784
cnep1r1,0.005212415,0.352369779
LOC107384277,0.005213883,-0.341260586
kansl2,0.005220551,0.323038899
acin1(1of2),0.005230262,-0.477743233
ado(2of2),0.005231642,-0.529655528
klhl30,0.00524515,0.525572482
supt5h(1of2),0.005245401,-0.862519738
zfand2b,0.005258067,0.338499319
rxra(2of3),0.005262034,0.361352396
per3,0.005262166,-0.35991242
cldn4(10of19),0.005268157,0.551577746
cops5,0.005270758,0.304544622
phc3,0.005285755,-0.493560012
sept8(2of2),0.005291279,0.294422822
acss2(1of2),0.005293052,-0.729928814
ppp2cb(2of2),0.005297299,0.320663904
bdp1,0.005298874,-0.400903023
brf2,0.005300587,0.413489112
rbm15b,0.005308206,-0.379489291
zdhhc16(1of2),0.005321366,-0.627805664
srsf9,0.005326401,-0.474080758
mfsd13a,0.005327328,0.403891755
mllt1(2of2),0.005334735,-0.416017303
plekhg1(2of2),0.005339109,-0.489525918
lrp5,0.005350319,-0.399367023
dnajc3(1of2),0.005350354,0.339537501
vps37b(1of2),0.005350678,0.416047754
trim16(14of15),0.005359354,-0.528953829
rps12,0.005369429,-0.361250555
golga1,0.005369565,-0.329063799
rras2,0.005370737,0.333777598
slc6a8(1of2),0.005377698,-0.405379244
shd(1of2),0.005378311,0.345421375
csnk2b(1of2),0.00537904,0.375632915
trim39(1of27),0.005385565,0.340261775
nfkbia(2of2),0.005394317,0.292745727
mrpl3,0.005395773,0.29329931
c17orf75,0.005395784,0.32666423
cndp2,0.00541362,0.418181816
rspo3(1of2),0.005426697,-0.454611022
adam8(2of2),0.005430007,-0.306217926
gsg1l(5of7),0.005431839,-0.443629491
pkig,0.005436865,0.317824123
dqx1,0.005438501,-0.35864569
suv420h1,0.005441423,-0.374652252
aco1,0.00544227,0.313358318
rac2(6of6),0.005445616,0.62114061
pgm1(1of2),0.005448395,0.41621419
lamp1(2of4),0.005456631,0.369369279
dtd1,0.0054629,0.426289853
kiaa1191(2of2),0.005465882,0.788179799
pidd1,0.005469147,-0.444065577
spg21,0.005469162,0.364535389
ganc,0.005481401,-0.338837413
lin28a,0.005485941,-0.46995838
ocln(4of4),0.005486091,0.354612688
mfsd11(1of2),0.005488986,-0.442654635
tada3,0.005489089,0.331199752
dcps,0.005493297,0.449810695
dyrk1b,0.005495343,-0.373309768
suv39h1,0.005502289,0.428838672
apbb2(2of2),0.005502303,-0.481230375
spcs2,0.005510948,0.426130641
mgme1,0.005511242,0.350165031
LOC107397330,0.005511277,-0.88245496
srrm4,0.00552018,-0.444097282
tsr3,0.00553565,0.306470583
mylpf(3of4),0.005536952,-0.620204074
zfp87,0.005543803,0.31359914
pex2,0.005545978,0.425080771
LOC107382104,0.005546299,-0.390363295
ptp4a1,0.005555278,0.294450971
reps2,0.005555976,0.485933016
bet1l,0.005565532,0.317845603
mrps5,0.005570814,-0.327962194
sssca1,0.005571544,0.344389713
atg16l1(1of2),0.00557921,0.297850328
bbs12,0.005586611,0.548852268
trim23,0.005601888,0.312514823
cdip1(3of3),0.005609511,-1.221846591
sall4,0.005612076,0.291737554
s100a16,0.005622492,-0.710826595
kif21a(1of3),0.005629706,-0.459850219
ctps1,0.005634929,0.291048359
mak16,0.005647119,0.302506492
phldb3,0.00564804,-0.439401016
map3k12(1of2),0.005649014,-0.385129701
nrip3,0.005653185,-0.528526896
dnase2b,0.005655986,-0.906566487
cilp2(3of3),0.005658765,2.342122985
cox10,0.005661309,0.448194251
ank2(2of3),0.005664173,-0.575269752
LOC107378801,0.005664864,-0.509297658
prom1(4of4),0.005668355,-0.543268258
ric1,0.005679476,-0.355110276
hmces,0.00568084,0.363285363
clcn6,0.005686184,-0.318491941
ip6k2(1of2),0.005692051,0.319047157
dbn1(2of2),0.005704128,-0.37332798
tsku,0.005706139,0.307698037
ndufs3,0.005721863,0.290577645
cep290(4of5),0.005722754,-0.418918055
suds3,0.005726136,0.290431015
tmem41a(1of2),0.005733389,0.328491844
rin2(1of4),0.00573582,-0.449187775
cep192,0.005747578,-0.332070781
rnf19b(2of3),0.005757601,-0.319800437
kiaa0907(1of2),0.005767408,-0.325130724
tenm3(2of2),0.005773364,-0.366874843
tuba1c(5of10),0.005777968,-0.912995661
mob3a,0.005778042,0.422121144
myo9b(2of2),0.00577917,-0.414263219
crabp2(1of2),0.005789047,0.969549817
rqcd1(2of2),0.005807316,0.389057956
cab39l,0.005810299,0.308898734
fam20c(1of6),0.005811526,-0.454054329
srp14,0.005820892,0.301454952
cmtm4(2of2),0.005839682,0.522743561
rab11fip3(1of3),0.005845597,-0.449481501
trmt61a,0.005859949,0.302729488
lyrm7,0.005860738,0.360774291
nacc1(2of2),0.005863453,-0.460893826
cfap52,0.005868664,-0.426036212
slc25a45,0.005870961,-0.676309872
tbcc,0.00587793,0.385576168
npm3,0.005878991,0.353729262
coq10b(1of3),0.005886813,0.309257186
tnip1(3of4),0.005902065,-0.532197425
fam3c(1of2),0.00590656,0.458838322
gpr161(1of2),0.00591611,0.615494642
lmo4(3of3),0.005916655,0.677449967
gosr2,0.005920814,0.347864585
osbpl3(3of3),0.005922053,-0.706835709
shtn1(1of3),0.00593202,-0.710907961
gad1(2of2),0.005933776,0.560283668
spire1,0.005942674,-0.408074548
kin,0.005944216,0.359426756
hm13,0.00594561,-0.316109695
snap29,0.005958191,0.561450387
ssbp1(2of2),0.005975173,0.433886824
LOC107389053,0.005978888,-0.294720803
farp1(2of2),0.005987397,0.30700948
h6pd,0.005987837,-0.582643088
bbs5,0.005990956,0.437258063
rpl7l1,0.005992119,0.290041727
