target_id	length	eff_length	est_counts	tpm
col11a2	1086	957.766	177.376	15.8987
runx2(2of2)	837	708.766	0	0
gtf2ird2(3of3)	574	445.983	8	1.53992
mt_nd4	1381	1252.77	17103.6	1172.04
mt_co1	1545	1416.77	53931.5	3267.91
hoxb9(2of2)	827	698.766	340	41.7708
mt_nd2	1036	907.766	7039.9	665.761
mt_cyb	1137	1008.77	17363.1	1477.62
mt_nd1	975	846.766	11099	1125.24
sox11(2of2)	1139	1010.77	8	0.679462
mt_co2	691	562.833	18415.6	2808.88
mt_nd5	1842	1713.77	9149.77	458.336
zmym1(14of14)	1113	984.766	2	0.17435
sphk1(2of3)	500	372.469	0	0
smdt1(2of2)	762	633.833	1065	144.245
smc6(2of2)	699	570.833	2	0.300778
sebox(2of2)	714	585.833	1	0.146539
rpl38	332	211.4	11363	4614.39
ppp1r3a(4of4)	255	144.441	546	324.509
poln	753	624.833	33	4.53394
pla2r1(3of3)	765	636.833	0	0
pde4d(3of3)	1495	1366.77	18	1.13059
pcsk7(2of2)	317	197.855	0	0
nlrc3(24of24)	662	533.888	0	0
necab1(4of4)	232	125.632	28	19.133
mt_nd6	519	391.279	3099	679.924
mt_nd4l	297	180.214	959	456.831
mt_nd3	349	227.015	701	265.087
mt_co3	784	655.833	18793	2459.96
mt_atp8	168	77.6731	503	555.934
mt_atp6	683	554.833	7304	1130.12
mfap4(4of4)	611	482.938	1	0.17776
klhl38(2of2)	1450	1321.77	5	0.324744
ins	573	444.983	23	4.43721
hoxa2b	627	498.938	15	2.58089
gtf2ird2(2of3)	890	761.766	36	4.05702
fzd3(4of4)	369	245.698	8	2.79521
fgfbp1(3of3)	1392	1263.77	10	0.679296
fgf11(2of2)	483	355.905	0	0
elovl4(6of6)	471	344.081	0	0
deptor(3of3)	384	260.055	1	0.330112
cdkn1c(2of2)	213	110.394	7	5.44349
adh5(4of4)	1537	1408.77	5	0.304689
a2ml1(4of4)	1662	1533.77	6	0.335829
glipr2(2of2)	687	558.833	71	10.9069
pax6(4of4)	1522	1393.77	4.64678	0.286212
fgf22	3384	3255.77	1	0.0263677
cdk14(3of3)	461	334.284	2	0.513618
ccni2	2524	2395.77	3834.95	137.417
polq	5318	5189.77	67	1.10829
fgf12(2of2)	4868	4739.77	229.343	4.15387
vps52	3162	3033.77	438	12.3942
rps29	345	223.314	4275	1643.41
cfap46(1of2)	3396	3267.77	183.925	4.83187
sash1(2of2)	7689	7560.77	761.84	8.65015
pla2g1b(3of3)	2329	2200.77	9	0.35107
krt222	2245	2116.77	18	0.730004
pdp1(3of3)	2695	2566.77	0	0
mtus2(2of2)	2679	2550.77	6	0.201932
mtf2(2of2)	2345	2216.77	1211.06	46.9
lin37	1710	1581.77	933	50.6367
cfap46(2of2)	2985	2856.77	13.0752	0.392916
phf14	3730	3601.77	983	23.4295
chd3(2of2)	8348	8219.77	33	0.344651
slc7a3	4392	4263.77	159	3.20132
nkx1_2	988	859.766	1	0.0998494
ghsr(4of4)	2292	2163.77	5.08018	0.201555
cdhr5(3of3)	3497	3368.77	46.9263	1.19583
kdm2a(3of3)	3877	3748.77	132.365	3.03116
fgf20(2of2)	1818	1689.77	11	0.558845
fgf4	924	795.766	1	0.10788
cdh23(2of3)	6397	6268.77	30	0.410832
cdh23(3of3)	5108	4979.77	10	0.172392
ppp2r2b	3395	3266.77	220	5.78136
kdm6b(2of2)	8093	7964.77	1633	17.6011
sphk1(3of3)	4203	4074.77	97.1177	2.04607
sirt1	2233	2104.77	18	0.734166
fgf3	1999	1870.77	14	0.642442
