target_id	length	eff_length	est_counts	tpm
col11a2	1086	924.138	156	19.6379
runx2(2of2)	837	675.367	0	0
gtf2ird2(3of3)	574	414.736	9	2.52452
mt_nd4	1381	1219.14	11582.6	1105.25
mt_co1	1545	1383.14	34686.8	2917.47
hoxb9(2of2)	827	665.367	148	25.8767
mt_nd2	1036	874.138	4532.92	603.262
mt_cyb	1137	975.138	10907.3	1301.24
mt_nd1	975	813.22	8864	1268.03
sox11(2of2)	1139	977.138	2	0.238112
mt_co2	691	530.05	11553.9	2535.82
mt_nd5	1842	1680.14	6183.38	428.143
zmym1(14of14)	1113	951.138	2	0.244621
sphk1(2of3)	500	344.138	1	0.338045
smdt1(2of2)	762	600.557	644	124.75
smc6(2of2)	699	537.889	5	1.0814
sebox(2of2)	714	552.671	2	0.420989
rpl38	332	193.154	4676	2816.3
ppp1r3a(4of4)	255	132.586	356	312.364
poln	753	591.557	20	3.93315
pla2r1(3of3)	765	603.557	1	0.192748
pde4d(3of3)	1495	1333.14	11	0.959899
pcsk7(2of2)	317	180.725	0	0
nlrc3(24of24)	662	501.206	2	0.464217
necab1(4of4)	232	115.061	14	14.1549
mt_nd6	519	361.817	1808	581.322
mt_nd4l	297	164.267	705	499.283
mt_nd3	349	207.139	569	319.564
mt_co3	784	622.496	11538	2156.26
mt_atp8	168	72.4593	353	566.746
mt_atp6	683	522.103	4145	923.584
mfap4(4of4)	611	450.87	3	0.774066
klhl38(2of2)	1450	1288.14	13	1.17406
ins	573	413.736	3	0.843541
hoxa2b	627	466.595	25	6.23315
gtf2ird2(2of3)	890	728.298	52	8.3062
fzd3(4of4)	369	224.32	14	7.26052
fgfbp1(3of3)	1392	1230.14	6	0.567421
fgf11(2of2)	483	328.199	1	0.354463
elovl4(6of6)	471	316.952	2	0.734081
deptor(3of3)	384	237.955	5	2.44446
cdkn1c(2of2)	213	101.644	3	3.43359
adh5(4of4)	1537	1375.14	13	1.09978
a2ml1(4of4)	1662	1500.14	14	1.08569
glipr2(2of2)	687	526.05	8	1.76917
pax6(4of4)	1522	1360.14	2	0.171063
fgf22	3384	3222.14	0	0
cdk14(3of3)	461	307.623	2	0.756345
ccni2	2524	2362.14	1466.72	72.2355
polq	5318	5156.14	74	1.66961
fgf12(2of2)	4868	4706.14	277.814	6.86748
vps52	3162	3000.14	245	9.5002
rps29	345	203.777	1670	953.389
cfap46(1of2)	3396	3234.14	38.7504	1.39388
sash1(2of2)	7689	7527.14	492.34	7.60927
pla2g1b(3of3)	2329	2167.14	10	0.536811
krt222	2245	2083.14	8	0.446766
pdp1(3of3)	2695	2533.14	3	0.137775
mtus2(2of2)	2679	2517.14	7	0.323518
mtf2(2of2)	2345	2183.14	623.274	33.2128
lin37	1710	1548.14	757	56.8845
cfap46(2of2)	2985	2823.14	11.2496	0.463566
phf14	3730	3568.14	721	23.5072
chd3(2of2)	8348	8186.14	30	0.426334
slc7a3	4392	4230.14	108	2.97014
nkx1_2	988	826.138	1	0.140817
ghsr(4of4)	2292	2130.14	9.00267	0.491667
cdhr5(3of3)	3497	3335.14	69.7164	2.43181
kdm2a(3of3)	3877	3715.14	88.3762	2.76738
fgf20(2of2)	1818	1656.14	14	0.983421
fgf4	924	762.298	3	0.45783
cdh23(2of3)	6397	6235.14	37	0.690341
cdh23(3of3)	5108	4946.14	8	0.188162
ppp2r2b	3395	3233.14	203	7.30432
kdm6b(2of2)	8093	7931.14	859	12.5999
sphk1(3of3)	4203	4041.14	136.249	3.92228
sirt1	2233	2071.14	21	1.17955
fgf3	1999	1837.14	12	0.759884
rps11	604	443.96	6250	1637.74
myo19	3063	2901.14	16	0.641593
fgf17	720	558.616	36	7.49717
rpl13	948	786.22	10246	1516.07
lect1(2of2)	1771	1609.14	3	0.216888
rnaseh2a(1of2)	879	717.298	75	12.1638
rnaseh2a(2of2)	1087	925.138	153.063	19.2473
rpl32	525	367.56	9631	3048.26
creb1(5of5)	1396	1234.14	16	1.50822
prkab1(2of2)	1730	1568.14	1553	115.211
slc1a2(3of3)	3930	3768.14	12	0.370478
gabrb3(3of3)	1853	1691.14	7	0.481534
c12orf65	699	537.889	249	53.8535
setd1b(3of3)	7551	7389.14	169.411	2.6672
prdm2(2of2)	6595	6433.14	505.288	9.13743
hoxa7	996	834.138	282.6	39.4132
trpc7(1of2)	3233	3071.14	15	0.568198
xcr1(2of4)	1090	928.138	4	0.501366
cep112	3057	2895.14	50	2.00913
idh2(2of2)	1777	1615.14	333	23.9851
grb7	2726	2564.14	101	4.58235
ttc30a1	1814	1652.14	28	1.9716
ppp1r13b(1of2)	4651	4489.14	176	4.56097
bcl9l(1of2)	5353	5191.14	53.9222	1.20841
hipk2(5of6)	4244	4082.14	20	0.569968
bloc1s4	1673	1511.14	275	21.1708
bphl	1251	1089.14	163	17.4105
fam184a(1of2)	4461	4299.14	37.5825	1.01698
zfp330	1254	1092.14	276	29.3995
gfra1(5of7)	2172	2010.14	7	0.405117
st6galnac6	2249	2087.14	525.71	29.3024
chrnb1(2of2)	2987	2825.14	238	9.80043
cldn19(2of4)	1795	1633.14	3	0.213701
pnp(3of5)	1943	1781.14	25	1.63286
cops4	1687	1525.14	2145	163.616
LOC107372748	1209	1047.14	786	87.3225
gale	1368	1206.14	91	8.77712
lcp2(1of2)	1717	1555.14	39	2.91745
acaa2	1760	1598.14	127	9.24479
exosc9	1497	1335.14	195	16.9909
wdr73	2271	2109.14	90	4.96416
chrna4	2777	2615.14	94.2533	4.19285
prpf39(1of2)	3001	2839.14	1506	61.7087
zcchc8	2425	2263.14	309	15.8838
anapc15	1978	1816.14	75	4.80419
csf1r(2of2)	4048	3886.14	12	0.359229
capsl	951	789.22	18	2.65327
rpusd4	1375	1213.14	492	47.1805
hist1h1b(1of6)	1338	1176.14	7	0.692385
tmem100(1of2)	1399	1237.14	54	5.07789
trerf1(1of2)	1993	1831.14	2	0.127062
msh6	5452	5290.14	217.521	4.78346
znf235(31of148)	2101	1939.14	141.396	8.48277
fam83h(1of2)	7544	7382.14	164	2.58446
pcdh1(2of2)	4943	4781.14	9.21789	0.224289
lsamp	1957	1795.14	86.3468	5.59572
huwe1	14690	14528.1	2297	18.3933
tapbp	1820	1658.14	1	0.0701596
ccdc90b	1162	1000.14	180	20.9373
txn2	931	769.298	962	145.475
LOC107396618	1471	1309.14	0	0
zscan22(1of6)	1284	1122.14	193.683	20.0795
tmem229a	3057	2895.14	18	0.723288
tnfaip8l3	1407	1245.14	1.04152	0.0973103
trim33(2of2)	4263	4101.14	572	16.2256
tnmd	1121	959.138	16	1.94065
sgms2(1of2)	1664	1502.14	51	3.94974
c11orf31	669	508.206	104	23.8068
hspd1	2406	2244.14	167	8.65715
plaa	2629	2467.14	29	1.36745
cers5(2of2)	1769	1607.14	56	4.05362
cxorf21	3671	3509.14	76	2.51954
ier3ip1(1of2)	618	457.734	1148	291.767
htr3a(4of11)	1953	1791.14	10	0.649499
rnd2(2of2)	1666	1504.14	128	9.89988
lcmt2	2407	2245.14	195	10.1041
serpini1	1617	1455.14	12	0.959367
LOC107383633	1566	1404.14	15	1.24277
csmd3(7of9)	3906	3744.14	32	0.994274
rab27b(2of2)	3663	3501.14	22	0.731007
jag2(2of2)	5861	5699.14	321	6.55245
zbtb39	4003	3841.14	52	1.57489
brd7	2004	1842.14	185	11.6831
LOC107372370	2401	2239.14	1366	70.9705
schip1(2of3)	1727	1565.14	4	0.297314
nqo1(2of6)	992	830.138	5.54621	0.777237
ppil3	1088	926.138	397	49.8681
prr16(1of2)	2696	2534.14	5.04131	0.231431
LOC107395317	549	390.498	0	0
LOC107382444	1404	1242.14	8	0.749252
fpgs	2926	2764.14	200	8.4174
lrriq1	4375	4213.14	75	2.07092
cetn3	1119	957.138	260	31.6014
rab1a(3of3)	1747	1585.14	398.304	29.2318
c1orf112	3098	2936.14	107	4.23951
znf721(2of2)	2452	2290.14	364.373	18.5094
cdh18	3633	3471.14	5.11124	0.171302
runx1t1	5292	5130.14	66.3857	1.5054
kiaa1324l(3of3)	4699	4537.14	30	0.769214
glrx2	1214	1052.14	116	12.8261
irf8(2of2)	2087	1925.14	4	0.241716
ankrd63(2of2)	2030	1868.14	2	0.124546
arhgap44(2of2)	4675	4513.14	21.1202	0.544412
nol10	2488	2326.14	21	1.05025
gipc1(2of2)	2508	2346.14	57.9654	2.87424
nlrx1(1of2)	905	743.298	27	4.2258
scarb2(2of3)	3460	3298.14	554	19.5411
atg9a(1of2)	6178	6016.14	285.82	5.52691
pvr(2of2)	2161	1999.14	15.3034	0.890537
